,Eastern Africa,Burundi,Comoros,Djibouti,Eritrea,Ethiopia,Kenya,Madagascar,Malawi,Mauritius,Mayotte,Mozambique,R_union,Rwanda,Somalia,Uganda,Tanzania,Zambia,Zimbabwe,Middle Africa,Angola,Cameroon,Central African Republic,Chad,Congo,Congo DR,Equatorial Guinea,Gabon,Sao Tome and Principe,Northern Africa,Algeria,Egypt,Libyan Arab Jamahiriya,Morocco,Sudan,Tunisia,Western Sahara,Southern Africa,Botswana,Lesotho,Namibia,South Africa,Swaziland,Western Africa,Benin,Burkina Faso,Cape Verde,Cote dIvoire,Gambia,Ghana,Guinea,Guinea-Bissau,Liberia,Mali,Mauritania,Niger,Nigeria,Senegal,Sierra Leone,Togo,ASIA,Eastern Asia,China,"China, Hong Kong SAR","China, Macao SAR","Korea, DPR",Japan,Mongolia,Republic of Korea,Other non-specified areas,South-Central Asia,Central Asia,Kazakhstan,Kyrgyzstan,Tajikistan,Turkmenistan,Uzbekistan,Southern Asia,Afghanistan,Bangladesh,Bhutan,India,Iran,Maldives,Nepal,Pakistan,Sri Lanka,South-Eastern Asia,Brunei,Cambodia,Indonesia,Lao PDR,Malaysia,Myanmar,Philippines,Singapore,Thailand,Timor-Leste,Viet Nam,Western Asia,Armenia,Azerbaijan,Bahrain,Cyprus,Georgia,Iraq,Israel,Jordan,Kuwait,Lebanon,Occupied Palestinian Territory,Oman,Qatar,Saudi Arabia,Syria,Turkey,United Arab Emirates,Yemen,EUROPE,Eastern Europe,Belarus,Bulgaria,Czech Republic,Hungary,Poland,Moldova,Romania,Russia,Slovakia,Ukraine,Northern Europe,Channel Islands,Denmark,Estonia,Finland,Iceland,Ireland,Latvia,Lithuania,Norway,Sweden,United Kingdom,Southern Europe,Albania,Bosnia and Herzegovina,Croatia,Greece,Italy,Malta,Montenegro,Portugal,Serbia,Slovenia,Spain,Macedonia,Western Europe,Austria,Belgium,France,Germany,Luxembourg,Netherlands,Switzerland,LATIN AMERICA AND THE CARIBBEAN,Caribbean,Aruba,Bahamas,Barbados,Cuba,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Netherlands Antilles,Puerto Rico,Saint Lucia,Saint Vincent and the Grenadines,Trinidad and Tobago,United States Virgin Islands,Central America,Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,South America,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela,NORTHERN AMERICA,Canada,United States of America,OCEANIA,Australia/New Zealand,Australia,New Zealand,Melanesia,Fiji,New Caledonia,Papua New Guinea,Solomon Islands,Vanuatu,Micronesia,Guam,Micronesia (Fed. States of),Polynesia,French Polynesia,Samoa,Tonga
0,18301.349,215.48,38.348,26.955,210.351,2067.172,2203.887,1209.937,1513.305,13.603,8.85,1123.455,12.592,592.927,881.299,2405.638,3915.147,1547.936,313.607,5869.869,831.296,772.27,161.811,631.733,192.377,3195.71,30.029,49.784,4.859,4416.878,487.851,1545.609,95.607,423.316,1719.483,134.47,10.542,926.483,35.081,46.506,53.031,764.565,27.3,18006.87,496.481,1233.242,6.4,796.757,84.727,907.107,507.102,74.728,221.551,1094.133,142.396,1693.177,9743.697,603.781,210.762,190.79,58042.888,13181.44,11201.51,82.978,7.434,315.256,956.278,60.628,415.966,141.39,30321.908,1074.69,315.266,120.571,166.82,77.704,394.329,29247.218,1629.025,1926.006,9.427,20485.233,732.632,3.4,568.114,3640.949,252.432,8665.977,6.804,210.679,3108.757,91.491,565.421,584.567,2363.876,54.491,638.92,65.204,975.767,5873.563,29.538,140.866,17.55,12.761,28.006,1806.235,174.725,119.989,65.521,44.654,192.375,31.745,15.5,495.646,393.484,937.262,88.901,1278.805,7575.493,2711.65,83.656,52.923,114.432,98.017,360.578,23.38,176.77,1368.769,53.307,379.818,1324.258,1.507,67.456,14.104,64.147,5.344,75.844,20.729,30.999,73.353,128.399,840.832,1452.877,25.102,22.018,38.084,115.251,562.542,3.609,5.872,73.746,81.622,19.566,487.193,16.215,2086.708,76.382,133.769,855.639,749.898,7.862,185.815,76.564,8302.356,533.414,1.045,4.781,2.592,79.471,151.883,0.956,4.93,200.476,27.079,3.342,1.875,34.119,1.963,1.165,12.556,0.912,2564.775,6.885,55.722,83.74,596.273,175.566,1495.29,89.998,61.301,5204.167,585.536,262.343,2097.126,198.364,700.775,220.046,8.727,8.241,145.856,438.732,6.788,39.851,491.748,5584.78,479.928,5103.506,763.215,450.155,379.637,70.518,291.364,13.279,3.764,243.697,21.143,9.481,9.424,3.039,2.019,12.272,3.325,3.831,2.368
1,18119.512,217.611,37.992,27.015,211.137,2073.227,2188.561,1198.482,1490.384,13.622,8.879,1113.086,12.645,593.303,859.953,2380.227,3860.16,1515.553,316.813,5829.172,828.409,768.906,161.121,625.162,190.854,3170.194,29.952,49.715,4.859,4435.035,493.873,1558.429,97.382,425.833,1713.369,135.54,10.609,931.312,35.407,46.837,53.248,768.292,27.528,17807.352,491.775,1216.112,6.424,793.255,84.102,905.401,503.079,73.689,219.539,1079.643,141.554,1660.296,9630.948,600.728,209.889,190.879,58307.518,13235.562,11255.697,83.39,7.439,314.028,958.974,61.461,413.695,140.878,30494.919,1086.318,320.474,121.058,167.728,78.431,398.627,29408.601,1614.571,1941.031,9.504,20601.682,749.165,3.439,571.181,3663.336,254.692,8702.592,6.787,212.575,3120.439,91.881,565.598,586.003,2367.542,53.531,644.278,64.751,989.207,5874.445,29.96,143.758,17.912,12.826,28.402,1791.733,175.628,120.698,65.263,44.818,191.631,32.019,16.377,499.289,393.575,944.056,89.502,1276.998,7623.793,2748.409,84.935,53.735,115.363,98.186,360.973,23.987,178.392,1393.088,53.308,386.442,1327.005,1.5,67.179,14.306,64.166,5.353,76.472,20.968,31.064,73.166,128.638,842.657,1464.003,25.106,22.025,38.25,116.537,563.653,3.612,5.909,74.294,82.16,19.779,494.331,16.304,2084.376,76.442,134.14,857.261,746.506,7.844,185.258,76.138,8344.246,536.7,1.039,4.771,2.586,79.524,153.462,0.973,4.907,201.574,27.254,3.336,1.887,34.307,1.981,1.175,12.737,0.909,2577.744,6.92,56.064,84.512,595.092,176.496,1506.232,90.943,61.485,5229.802,588.148,262.883,2107.625,199.076,704.579,221.436,8.681,8.132,146.499,441.298,6.809,39.986,494.616,5583.3,480.499,5101.453,763.407,450.999,380.462,70.537,290.748,13.329,3.787,243.07,21.115,9.447,9.41,3.047,2.009,12.25,3.352,3.801,2.375
2,17937.43,219.396,37.674,27.046,211.884,2080.638,2173.155,1186.923,1466.668,13.65,8.909,1103.566,12.694,592.624,839.495,2355.69,3804.403,1482.676,319.473,5791.347,825.82,765.714,160.44,619.077,189.392,3146.567,29.863,49.61,4.864,4450.882,498.572,1571.08,98.938,428.067,1707.402,136.17,10.653,936.531,35.72,47.143,53.471,772.458,27.739,17611.667,487.267,1199.248,6.453,789.81,83.494,903.71,499.187,72.693,217.616,1065.873,140.763,1628.445,9519.036,597.826,209.257,190.951,58576.319,13291.44,11312.277,83.404,7.417,312.634,961.243,62.073,411.789,140.603,30671.276,1095.832,324.675,121.499,168.442,79.053,402.163,29575.444,1601.463,1956.332,9.583,20724.487,763.256,3.468,574.374,3685.218,257.263,8739.932,6.758,214.296,3133.962,92.298,566.11,587.33,2371.408,52.748,650.014,64.278,1000.73,5873.671,30.353,146.301,18.223,12.871,28.759,1777.292,176.35,121.548,65.066,44.983,190.752,32.303,17.086,502.533,394.431,950.679,90.03,1274.111,7658.057,2776.065,85.926,54.449,115.716,98.148,360.139,24.508,179.687,1412.746,53.163,391.583,1328.037,1.493,66.973,14.442,64.117,5.354,76.894,21.102,31.009,72.963,128.662,843.493,1473.031,25.131,22.054,38.354,117.495,564.535,3.61,5.946,74.915,82.711,19.921,499.95,16.378,2080.924,76.492,134.397,858.063,742.644,7.829,184.977,75.73,8386.949,540.188,1.036,4.759,2.581,79.616,155.057,0.991,4.909,202.723,27.501,3.347,1.899,34.492,1.997,1.183,12.904,0.907,2590.639,6.954,56.388,85.272,593.753,177.438,1517.249,91.898,61.687,5256.122,590.627,263.369,2118.651,199.735,708.513,222.973,8.63,8.058,147.105,443.892,6.837,40.122,497.577,5578.894,480.219,5097.331,763.03,451.17,380.683,70.487,290.196,13.383,3.813,242.5,21.088,9.412,9.411,3.053,2.006,12.253,3.374,3.788,2.389
3,17754.804,220.859,37.385,27.055,212.575,2089.307,2157.563,1175.268,1442.207,13.683,8.939,1094.813,12.742,590.935,819.859,2331.858,3747.875,1449.37,321.639,5756.014,823.489,762.651,159.764,613.413,187.978,3124.614,29.765,49.471,4.869,4464.537,502.081,1583.487,100.284,430.064,1701.529,136.417,10.675,942.089,36.017,47.421,53.701,777.015,27.935,17419.024,482.92,1182.599,6.479,786.409,82.901,901.986,495.398,71.743,215.768,1052.722,140.015,1597.492,9407.697,595.024,208.829,191.005,58848.379,13348.987,11370.946,83.088,7.377,311.138,963.136,62.476,410.267,140.559,30850.248,1103.377,327.901,121.883,168.978,79.582,405.033,29746.871,1589.556,1971.966,9.66,20852.829,775.022,3.486,577.695,3706.586,260.071,8777.891,6.722,215.865,3149.157,92.753,566.934,588.6,2375.439,52.143,656.039,63.788,1010.451,5871.253,30.717,148.491,18.484,12.894,29.074,1762.876,176.898,122.526,64.913,45.153,189.752,32.595,17.649,505.404,395.999,957.147,90.493,1270.188,7679.613,2795.375,86.653,55.065,115.566,97.936,358.264,24.95,180.691,1428.011,52.89,395.349,1327.579,1.488,66.838,14.516,64.009,5.349,77.133,21.143,30.854,72.752,128.495,843.471,1480.093,25.18,22.103,38.401,118.153,565.195,3.605,5.979,75.592,83.27,19.994,504.154,16.447,2076.566,76.536,134.553,858.127,738.452,7.816,184.939,75.348,8430.442,543.838,1.033,4.748,2.578,79.75,156.658,1.007,4.933,203.91,27.809,3.372,1.909,34.673,2.013,1.19,13.05,0.904,2603.459,6.983,56.699,86.014,592.255,178.388,1528.355,92.858,61.907,5283.145,592.989,263.802,2130.226,200.358,712.56,224.636,8.574,8.018,147.68,446.53,6.868,40.259,500.611,5572.026,479.225,5091.457,762.131,450.745,380.372,70.373,289.685,13.44,3.836,241.976,21.057,9.376,9.422,3.06,2.008,12.279,3.398,3.79,2.41
4,17571.317,222.014,37.121,27.04,213.184,2099.138,2141.68,1163.523,1417.052,13.722,8.969,1086.737,12.789,588.289,800.979,2308.559,3690.566,1415.711,323.365,5722.804,821.377,759.666,159.098,608.112,186.598,3104.116,29.659,49.302,4.876,4476.119,504.526,1595.586,101.425,431.874,1695.7,136.329,10.679,947.959,36.302,47.679,53.935,781.929,28.114,17228.638,478.705,1166.124,6.511,783.031,82.322,900.187,491.689,70.832,213.978,1040.076,139.293,1567.298,9296.665,592.277,208.576,191.035,59122.772,13408.112,11431.406,82.504,7.318,309.609,964.705,62.689,409.148,140.733,31031.114,1109.099,330.191,122.202,169.355,80.03,407.321,29922.015,1578.713,1987.981,9.736,20985.887,784.574,3.496,581.145,3727.433,263.05,8816.349,6.676,217.306,3165.849,93.248,568.047,589.867,2379.595,51.711,662.277,63.288,1018.485,5867.197,31.049,150.326,18.696,12.901,29.35,1748.447,177.274,123.612,64.803,45.327,188.643,32.893,18.084,507.934,398.222,963.473,90.89,1265.273,7689.771,2807.064,87.136,55.583,114.984,97.581,355.529,25.313,181.423,1439.142,52.518,397.855,1325.829,1.482,66.767,14.536,63.853,5.338,77.197,21.1,30.614,72.537,128.163,842.711,1485.331,25.247,22.173,38.403,118.539,565.637,3.599,6.013,76.309,83.836,20.011,507.051,16.507,2071.547,76.58,134.617,857.55,734.067,7.808,185.126,75,8474.664,547.597,1.031,4.735,2.578,79.924,158.253,1.022,4.975,205.12,28.166,3.407,1.916,34.85,2.03,1.199,13.179,0.902,2616.202,7.009,56.998,86.745,590.593,179.338,1539.557,93.815,62.147,5310.865,595.244,264.182,2142.36,200.956,716.71,226.408,8.515,8.008,148.223,449.216,6.901,40.398,503.711,5563.146,477.655,5084.15,760.776,449.812,379.606,70.206,289.205,13.501,3.857,241.486,21.024,9.337,9.448,3.066,2.015,12.311,3.416,3.804,2.432
5,17386.673,222.881,36.876,27.007,213.691,2110.036,2125.399,1151.698,1391.255,13.768,8.997,1079.252,12.832,584.737,782.786,2285.626,3632.475,1381.765,324.705,5691.339,819.446,756.715,158.433,603.11,185.242,3084.86,29.541,49.106,4.886,4485.751,506.039,1607.302,102.374,433.541,1689.864,135.964,10.667,954.098,36.573,47.914,54.176,787.155,28.28,17039.704,474.583,1149.77,6.545,779.664,81.756,898.261,488.03,69.954,212.227,1027.836,138.595,1537.729,9185.672,589.539,208.465,191.04,59398.627,13468.728,11493.352,81.718,7.247,308.115,966.005,62.721,408.451,141.119,31213.152,1113.146,331.581,122.446,169.59,80.406,409.123,30100.006,1568.797,2004.432,9.814,21122.84,792.025,3.498,584.721,3747.753,266.126,8855.203,6.626,218.647,3183.866,93.795,569.427,591.183,2383.836,51.447,668.64,62.784,1024.952,5861.544,31.348,151.799,18.861,12.896,29.588,1733.972,177.482,124.791,64.718,45.511,187.445,33.197,18.413,510.154,401.048,969.679,91.23,1259.412,7689.846,2811.875,87.395,56.005,114.043,97.113,352.129,25.602,181.91,1446.402,52.069,399.207,1323.005,1.476,66.756,14.507,63.656,5.321,77.106,20.984,30.309,72.323,127.695,841.34,1488.892,25.341,22.262,38.366,118.681,565.877,3.591,6.045,77.054,84.398,19.976,508.743,16.563,2066.074,76.633,134.596,856.415,729.627,7.802,185.508,74.694,8519.601,551.437,1.029,4.725,2.577,80.144,159.827,1.036,5.03,206.34,28.561,3.452,1.921,35.027,2.045,1.206,13.291,0.901,2628.875,7.034,57.289,87.465,588.77,180.285,1550.871,94.761,62.4,5339.289,597.406,264.51,2155.072,201.541,720.95,228.272,8.451,8.027,148.733,451.961,6.938,40.538,506.857,5552.72,475.65,5075.731,759.049,448.459,378.461,69.998,288.746,13.562,3.88,241.019,20.988,9.297,9.482,3.072,2.027,12.362,3.434,3.829,2.459
6,17200.558,223.479,36.641,26.955,214.075,2121.905,2108.612,1139.796,1364.867,13.819,9.024,1072.272,12.875,580.328,765.213,2262.886,3573.594,1347.607,325.712,5661.244,817.656,753.75,157.77,598.35,183.894,3066.626,29.416,48.886,4.896,4493.561,506.746,1618.571,103.136,435.113,1683.972,135.376,10.647,960.46,36.832,48.126,54.42,792.653,28.429,16851.429,470.521,1133.493,6.579,776.287,81.205,896.167,484.398,69.106,210.499,1015.89,137.904,1508.647,9074.451,586.762,208.462,191.02,59675.031,13530.749,11556.486,80.798,7.167,306.721,967.083,62.592,408.196,141.706,31395.639,1115.664,332.104,122.609,169.703,80.721,410.527,30279.975,1559.667,2021.367,9.893,21262.866,797.492,3.496,588.427,3767.535,269.232,8894.336,6.573,219.908,3203.039,94.398,571.048,592.601,2388.128,51.35,675.045,62.277,1029.969,5854.307,31.613,152.906,18.984,12.88,29.79,1719.412,177.53,126.044,64.653,45.709,186.169,33.504,18.656,512.095,404.423,975.779,91.513,1252.647,7681.154,2810.559,87.457,56.333,112.816,96.568,348.246,25.82,182.181,1450.052,51.568,399.518,1319.323,1.473,66.8,14.434,63.431,5.301,76.875,20.807,29.953,72.118,127.114,839.483,1490.898,25.455,22.368,38.299,118.611,565.917,3.584,6.076,77.806,84.955,19.896,509.331,16.617,2060.374,76.697,134.497,854.815,725.268,7.799,186.063,74.434,8565.232,555.321,1.029,4.717,2.58,80.407,161.372,1.048,5.094,207.555,28.986,3.504,1.92,35.203,2.061,1.214,13.388,0.901,2641.473,7.057,57.579,88.172,586.783,181.222,1562.302,95.689,62.669,5368.438,599.488,264.783,2168.379,202.129,725.269,230.207,8.389,8.073,149.212,454.772,6.978,40.684,510.041,5541.193,473.341,5066.518,757.005,446.765,377.012,69.753,288.291,13.623,3.9,240.564,20.948,9.256,9.527,3.076,2.044,12.422,3.452,3.86,2.487
7,17012.669,223.827,36.411,26.891,214.312,2134.65,2091.217,1127.827,1337.939,13.875,9.046,1065.707,12.918,575.112,748.194,2240.172,3513.92,1313.303,326.44,5632.142,815.97,750.727,157.107,593.766,182.543,3049.2,29.279,48.644,4.906,4499.65,506.778,1629.318,103.721,436.637,1677.968,134.612,10.616,967.021,37.08,48.323,54.667,798.384,28.567,16663.032,466.487,1117.246,6.619,772.885,80.662,893.855,480.764,68.284,208.778,1004.136,137.212,1479.92,8962.739,583.901,208.536,190.97,59951.081,13594.078,11620.502,79.807,7.081,305.5,967.994,62.312,408.397,142.485,31577.86,1116.805,331.8,122.679,169.709,80.989,411.628,30461.055,1551.186,2038.842,9.974,21405.148,801.087,3.488,592.261,3786.773,272.296,8933.642,6.517,221.118,3223.192,95.066,572.893,594.171,2392.429,51.416,681.414,61.776,1033.65,5845.501,31.841,153.645,19.063,12.859,29.956,1704.73,177.419,127.358,64.598,45.921,184.832,33.815,18.836,513.782,408.288,981.787,91.749,1245.022,7665.012,2803.844,87.34,56.566,111.376,95.974,344.067,25.968,182.259,1450.358,51.038,398.898,1314.988,1.47,66.893,14.325,63.187,5.277,76.518,20.581,29.567,71.921,126.446,837.264,1491.498,25.592,22.495,38.211,118.351,565.768,3.575,6.104,78.555,85.5,19.783,508.925,16.669,2054.682,76.782,134.336,852.838,721.131,7.799,186.761,74.235,8611.482,559.189,1.028,4.71,2.583,80.716,162.874,1.062,5.163,208.75,29.428,3.558,1.916,35.38,2.075,1.221,13.466,0.901,2654.004,7.079,57.865,88.872,584.631,182.144,1573.867,96.596,62.95,5398.289,601.499,265.005,2182.292,202.732,729.652,232.195,8.323,8.142,149.661,457.661,7.021,40.831,513.241,5529.035,470.874,5056.831,754.721,444.816,375.333,69.483,287.832,13.685,3.92,240.11,20.903,9.214,9.58,3.084,2.063,12.493,3.468,3.899,2.517
8,16822.703,223.945,36.179,26.814,214.384,2148.174,2073.102,1115.798,1310.521,13.938,9.064,1059.472,12.958,569.142,731.66,2217.312,3453.448,1278.927,326.944,5603.666,814.347,747.596,156.442,589.302,181.174,3032.366,29.135,48.386,4.918,4504.16,506.262,1639.477,104.136,438.161,1671.805,133.735,10.584,973.733,37.315,48.503,54.918,804.306,28.691,16473.705,462.443,1100.98,6.661,769.44,80.133,891.28,477.102,67.486,207.045,992.465,136.511,1451.408,8850.266,580.906,208.655,190.886,60225.87,13658.635,11685.103,78.812,6.993,304.51,968.791,61.899,409.08,143.447,31759.071,1116.712,330.703,122.647,169.631,81.219,412.512,30642.359,1543.215,2056.906,10.054,21548.861,802.921,3.476,596.223,3805.455,275.248,8973.001,6.464,222.297,3244.154,95.803,574.935,595.949,2396.7,51.643,687.657,61.285,1036.114,5835.163,32.031,154.011,19.102,12.836,30.088,1689.89,177.154,128.712,64.54,46.153,183.448,34.13,18.97,515.252,412.598,987.723,91.939,1236.586,7642.731,2792.469,87.063,56.706,109.794,95.364,339.781,26.054,182.17,1447.577,50.504,397.456,1310.213,1.467,67.033,14.184,62.933,5.251,76.05,20.315,29.164,71.743,125.717,834.812,1490.835,25.755,22.638,38.109,117.934,565.436,3.57,6.133,79.282,86.029,19.641,507.628,16.72,2049.214,76.892,134.117,850.572,717.35,7.804,187.581,74.099,8658.349,563.015,1.03,4.706,2.588,81.072,164.32,1.072,5.233,209.912,29.877,3.612,1.907,35.562,2.091,1.228,13.529,0.902,2666.46,7.099,58.159,89.561,582.311,183.044,1585.571,97.472,63.243,5428.874,603.457,265.173,2196.83,203.361,734.089,234.218,8.258,8.236,150.079,460.634,7.066,40.988,516.452,5516.694,468.381,5046.988,752.25,442.7,373.504,69.196,287.348,13.744,3.941,239.643,20.853,9.167,9.634,3.09,2.086,12.568,3.485,3.942,2.545
9,16630.346,223.847,35.939,26.728,214.266,2162.384,2054.165,1103.713,1282.667,14.004,9.077,1053.481,12.998,562.466,715.545,2194.138,3392.173,1244.548,327.274,5575.424,812.747,744.311,155.771,584.891,179.778,3015.907,28.981,48.111,4.927,4507.197,505.328,1648.976,104.393,439.73,1665.431,132.79,10.549,980.558,37.54,48.668,55.171,810.379,28.8,16282.666,458.357,1084.653,6.708,765.937,79.613,888.397,473.387,66.703,205.288,980.771,135.786,1422.977,8736.766,577.733,208.782,190.77,60498.505,13724.328,11749.985,77.878,6.908,303.828,969.522,61.367,410.258,144.582,31938.575,1115.536,328.847,122.509,169.482,81.423,413.275,30823.039,1535.615,2075.613,10.14,21693.187,803.112,3.462,600.314,3823.578,278.018,9012.308,6.412,223.473,3265.754,96.619,577.15,597.983,2400.906,52.026,693.698,60.809,1037.478,5823.294,32.184,153.998,19.103,12.811,30.186,1674.858,176.741,130.094,64.473,46.406,182.033,34.443,19.082,516.53,417.289,993.6,92.087,1227.376,7615.626,2777.193,86.658,56.755,108.146,94.769,335.573,26.078,181.942,1441.977,49.991,395.304,1305.212,1.467,67.215,14.017,62.68,5.225,75.488,20.02,28.764,71.585,124.953,832.247,1489.033,25.938,22.797,38.001,117.388,564.931,3.565,6.16,79.972,86.538,19.48,505.542,16.775,2044.188,77.03,133.848,848.108,714.064,7.81,188.496,74.035,8705.792,566.763,1.032,4.705,2.594,81.474,165.7,1.082,5.301,211.026,30.322,3.665,1.894,35.746,2.105,1.236,13.577,0.906,2678.846,7.12,58.456,90.244,579.823,183.917,1597.429,98.309,63.548,5460.183,605.37,265.287,2212.008,204.03,738.568,236.256,8.194,8.349,150.469,463.701,7.114,41.148,519.655,5504.63,466.002,5037.308,749.669,440.498,371.597,68.901,286.837,13.804,3.959,239.157,20.796,9.121,9.691,3.097,2.109,12.643,3.499,3.986,2.573
