,Eastern Africa,Burundi,Comoros,Djibouti,Eritrea,Ethiopia,Kenya,Madagascar,Malawi,Mauritius,Mayotte,Mozambique,R_union,Rwanda,Somalia,Uganda,Tanzania,Zambia,Zimbabwe,Middle Africa,Angola,Cameroon,Central African Republic,Chad,Congo,Congo DR,Equatorial Guinea,Gabon,Sao Tome and Principe,Northern Africa,Algeria,Egypt,Libyan Arab Jamahiriya,Morocco,Sudan,Tunisia,Western Sahara,Southern Africa,Botswana,Lesotho,Namibia,South Africa,Swaziland,Western Africa,Benin,Burkina Faso,Cape Verde,Cote dIvoire,Gambia,Ghana,Guinea,Guinea-Bissau,Liberia,Mali,Mauritania,Niger,Nigeria,Senegal,Sierra Leone,Togo,ASIA,Eastern Asia,China,"China, Hong Kong SAR","China, Macao SAR","Korea, DPR",Japan,Mongolia,"Korea, Rep.",Other non-specified areas,South-Central Asia,Central Asia,Kazakhstan,Kyrgyzstan,Tajikistan,Turkmenistan,Uzbekistan,Southern Asia,Afghanistan,Bangladesh,Bhutan,India,Iran,Maldives,Nepal,Pakistan,Sri Lanka,South-Eastern Asia,Brunei,Cambodia,Indonesia,Lao PDR,Malaysia,Myanmar,Philippines,Singapore,Thailand,Timor-Leste,Viet Nam,Western Asia,Armenia,Azerbaijan,Bahrain,Cyprus,Georgia,Iraq,Israel,Jordan,Kuwait,Lebanon,Occupied Palestinian Territory,Oman,Qatar,Saudi Arabia,Syria,Turkey,United Arab Emirates,Yemen,EUROPE,Eastern Europe,Belarus,Bulgaria,Czech Republic,Hungary,Poland,Moldova,Romania,Russia,Slovakia,Ukraine,Northern Europe,Channel Islands,Denmark,Estonia,Finland,Iceland,Ireland,Latvia,Lithuania,Norway,Sweden,United Kingdom,Southern Europe,Albania,Bosnia and Herzegovina,Croatia,Greece,Italy,Malta,Montenegro,Portugal,Serbia,Slovenia,Spain,Macedonia,Western Europe,Austria,Belgium,France,Germany,Luxembourg,Netherlands,Switzerland,LATIN AMERICA AND THE CARIBBEAN,Caribbean,Aruba,Bahamas,Barbados,Cuba,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Netherlands Antilles,Puerto Rico,Saint Lucia,Saint Vincent and the Grenadines,Trinidad and Tobago,United States Virgin Islands,Central America,Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,South America,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela,NORTHERN AMERICA,Canada,United States of America,OCEANIA,Australia/New Zealand,Australia,New Zealand,Melanesia,Fiji,New Caledonia,Papua New Guinea,Solomon Islands,Vanuatu,Micronesia,Guam,Micronesia (Fed. States of),Polynesia,French Polynesia,Samoa,Tonga
2010,12712,293,28,26,194,2620,1603,770,721,16,7,900,14,465,428,1591,1989,658,381,5412,817,722,159,520,147,2969,27,42,5,5010,703,1888,140,613,1475,178,12,1246,47,60,60,1043,35,12510,363,754,10,687,68,783,400,59,160,746,119,810,6644,477,225,196,74654,18385,18533.326,63,5,349,1067,65,480,182,39874,1367,339,131,197,110,587,38507,1440,2997,14,26957,1227,5,724,4777,362,10847,7,314,4270,139,584,814,2385,49,801,45,1433,5546,46,184,23,13,49,1170,158,153,50,64,140,49,22,619,465,1269,97,968,8022,3307,106,73,115,100,416,42,220,1685,58,489,1219,1,63,16,61,4,71,24,35,61,113,764,1535,41,30,43,115,551,3,7,93,108,20,496,21,1960,72,122,790,709,6,180,77,10803,740,1,5,3,107,214,2,6,265,49,4,2,48,3,1,19,1,3261,7,73,125,483,206,2158,136,69,6801,692,266,2978,245,902,296,6,13,159,585,9,49,597,4745,392,4350,658,376,311,64,257,18,4,210,17,7,11,3,2,14,4,4,2
2011,12712,293,28,26,194,2620,1603,770,721,16,7,900,14,465,428,1591,1989,658,381,5412,817,722,159,520,147,2969,27,42,5,5010,703,1888,140,613,1475,178,12,1246,47,60,60,1043,35,12510,363,754,10,687,68,783,400,59,160,746,119,810,6644,477,225,196,74654,18385,18533.326,63,5,349,1067,65,480,182,39874,1367,339,131,197,110,587,38507,1440,2997,14,26957,1227,5,724,4777,362,10847,7,314,4270,139,584,814,2385,49,801,45,1433,5546,46,184,23,13,49,1170,158,153,50,64,140,49,22,619,465,1269,97,968,8022,3307,106,73,115,100,416,42,220,1685,58,489,1219,1,63,16,61,4,71,24,35,61,113,764,1535,41,30,43,115,551,3,7,93,108,20,496,21,1960,72,122,790,709,6,180,77,10803,740,1,5,3,107,214,2,6,265,49,4,2,48,3,1,19,1,3261,7,73,125,483,206,2158,136,69,6801,692,266,2978,245,902,296,6,13,159,585,9,49,597,4745,392,4350,658,376,311,64,257,18,4,210,17,7,11,3,2,14,4,4,2
2012,12712,293,28,26,194,2620,1603,770,721,16,7,900,14,465,428,1591,1989,658,381,5412,817,722,159,520,147,2969,27,42,5,5010,703,1888,140,613,1475,178,12,1246,47,60,60,1043,35,12510,363,754,10,687,68,783,400,59,160,746,119,810,6644,477,225,196,74654,18385,18533.326,63,5,349,1067,65,480,182,39874,1367,339,131,197,110,587,38507,1440,2997,14,26957,1227,5,724,4777,362,10847,7,314,4270,139,584,814,2385,49,801,45,1433,5546,46,184,23,13,49,1170,158,153,50,64,140,49,22,619,465,1269,97,968,8022,3307,106,73,115,100,416,42,220,1685,58,489,1219,1,63,16,61,4,71,24,35,61,113,764,1535,41,30,43,115,551,3,7,93,108,20,496,21,1960,72,122,790,709,6,180,77,10803,740,1,5,3,107,214,2,6,265,49,4,2,48,3,1,19,1,3261,7,73,125,483,206,2158,136,69,6801,692,266,2978,245,902,296,6,13,159,585,9,49,597,4745,392,4350,658,376,311,64,257,18,4,210,17,7,11,3,2,14,4,4,2
2013,12712,293,28,26,194,2620,1603,770,721,16,7,900,14,465,428,1591,1989,658,381,5412,817,722,159,520,147,2969,27,42,5,5010,703,1888,140,613,1475,178,12,1246,47,60,60,1043,35,12510,363,754,10,687,68,783,400,59,160,746,119,810,6644,477,225,196,74654,18385,18533.326,63,5,349,1067,65,480,182,39874,1367,339,131,197,110,587,38507,1440,2997,14,26957,1227,5,724,4777,362,10847,7,314,4270,139,584,814,2385,49,801,45,1433,5546,46,184,23,13,49,1170,158,153,50,64,140,49,22,619,465,1269,97,968,8022,3307,106,73,115,100,416,42,220,1685,58,489,1219,1,63,16,61,4,71,24,35,61,113,764,1535,41,30,43,115,551,3,7,93,108,20,496,21,1960,72,122,790,709,6,180,77,10803,740,1,5,3,107,214,2,6,265,49,4,2,48,3,1,19,1,3261,7,73,125,483,206,2158,136,69,6801,692,266,2978,245,902,296,6,13,159,585,9,49,597,4745,392,4350,658,376,311,64,257,18,4,210,17,7,11,3,2,14,4,4,2
2014,12712,293,28,26,194,2620,1603,770,721,16,7,900,14,465,428,1591,1989,658,381,5412,817,722,159,520,147,2969,27,42,5,5010,703,1888,140,613,1475,178,12,1246,47,60,60,1043,35,12510,363,754,10,687,68,783,400,59,160,746,119,810,6644,477,225,196,74654,18385,18533.326,63,5,349,1067,65,480,182,39874,1367,339,131,197,110,587,38507,1440,2997,14,26957,1227,5,724,4777,362,10847,7,314,4270,139,584,814,2385,49,801,45,1433,5546,46,184,23,13,49,1170,158,153,50,64,140,49,22,619,465,1269,97,968,8022,3307,106,73,115,100,416,42,220,1685,58,489,1219,1,63,16,61,4,71,24,35,61,113,764,1535,41,30,43,115,551,3,7,93,108,20,496,21,1960,72,122,790,709,6,180,77,10803,740,1,5,3,107,214,2,6,265,49,4,2,48,3,1,19,1,3261,7,73,125,483,206,2158,136,69,6801,692,266,2978,245,902,296,6,13,159,585,9,49,597,4745,392,4350,658,376,311,64,257,18,4,210,17,7,11,3,2,14,4,4,2
2015,13693,290,28,27,196,2627,1704,850,841,16,7,949,14,488,488,1744,2252,765,401,5699,858,742,167,554,154,3143,28,45,5,4972,665,1851,126,590,1553,171,12,1203,46,59,60,1001,35,13570,388,839,9,724,72,810,425,63,170,815,124,941,7250,502,229,201,72328,17054,17254.504,69,6,360,1025,64,482,173,39111,1346,328,130,203,108,576,37764,1562,2874,14,26393,1078,5,723,4782,332,10502,7,305,4048,138,595,780,2450,52,743,52,1330,5659,41,171,21,13,43,1279,159,153,51,61,155,46,18,637,479,1211,90,1026,7857,3166,101,68,113,99,419,37,211,1592,59,463,1252,1,65,15,62,5,69,24,36,63,119,789,1453,39,28,42,110,531,3,7,84,100,19,463,20,1984,72,122,792,728,6,181,79,10505,717,1,5,3,101,207,2,6,262,48,4,2,45,2,1,17,1,3179,8,71,122,514,208,2052,132,69,6608,679,271,2849,241,879,289,6,13,162,571,9,48,589,4882,411,4469,684,393,327,66,265,17,4,218,18,7,11,3,2,14,4,4,2
2016,13693,290,28,27,196,2627,1704,850,841,16,7,949,14,488,488,1744,2252,765,401,5699,858,742,167,554,154,3143,28,45,5,4972,665,1851,126,590,1553,171,12,1203,46,59,60,1001,35,13570,388,839,9,724,72,810,425,63,170,815,124,941,7250,502,229,201,72328,17054,17254.504,69,6,360,1025,64,482,173,39111,1346,328,130,203,108,576,37764,1562,2874,14,26393,1078,5,723,4782,332,10502,7,305,4048,138,595,780,2450,52,743,52,1330,5659,41,171,21,13,43,1279,159,153,51,61,155,46,18,637,479,1211,90,1026,7857,3166,101,68,113,99,419,37,211,1592,59,463,1252,1,65,15,62,5,69,24,36,63,119,789,1453,39,28,42,110,531,3,7,84,100,19,463,20,1984,72,122,792,728,6,181,79,10505,717,1,5,3,101,207,2,6,262,48,4,2,45,2,1,17,1,3179,8,71,122,514,208,2052,132,69,6608,679,271,2849,241,879,289,6,13,162,571,9,48,589,4882,411,4469,684,393,327,66,265,17,4,218,18,7,11,3,2,14,4,4,2
2017,13693,290,28,27,196,2627,1704,850,841,16,7,949,14,488,488,1744,2252,765,401,5699,858,742,167,554,154,3143,28,45,5,4972,665,1851,126,590,1553,171,12,1203,46,59,60,1001,35,13570,388,839,9,724,72,810,425,63,170,815,124,941,7250,502,229,201,72328,17054,17254.504,69,6,360,1025,64,482,173,39111,1346,328,130,203,108,576,37764,1562,2874,14,26393,1078,5,723,4782,332,10502,7,305,4048,138,595,780,2450,52,743,52,1330,5659,41,171,21,13,43,1279,159,153,51,61,155,46,18,637,479,1211,90,1026,7857,3166,101,68,113,99,419,37,211,1592,59,463,1252,1,65,15,62,5,69,24,36,63,119,789,1453,39,28,42,110,531,3,7,84,100,19,463,20,1984,72,122,792,728,6,181,79,10505,717,1,5,3,101,207,2,6,262,48,4,2,45,2,1,17,1,3179,8,71,122,514,208,2052,132,69,6608,679,271,2849,241,879,289,6,13,162,571,9,48,589,4882,411,4469,684,393,327,66,265,17,4,218,18,7,11,3,2,14,4,4,2
2018,13693,290,28,27,196,2627,1704,850,841,16,7,949,14,488,488,1744,2252,765,401,5699,858,742,167,554,154,3143,28,45,5,4972,665,1851,126,590,1553,171,12,1203,46,59,60,1001,35,13570,388,839,9,724,72,810,425,63,170,815,124,941,7250,502,229,201,72328,17054,17254.504,69,6,360,1025,64,482,173,39111,1346,328,130,203,108,576,37764,1562,2874,14,26393,1078,5,723,4782,332,10502,7,305,4048,138,595,780,2450,52,743,52,1330,5659,41,171,21,13,43,1279,159,153,51,61,155,46,18,637,479,1211,90,1026,7857,3166,101,68,113,99,419,37,211,1592,59,463,1252,1,65,15,62,5,69,24,36,63,119,789,1453,39,28,42,110,531,3,7,84,100,19,463,20,1984,72,122,792,728,6,181,79,10505,717,1,5,3,101,207,2,6,262,48,4,2,45,2,1,17,1,3179,8,71,122,514,208,2052,132,69,6608,679,271,2849,241,879,289,6,13,162,571,9,48,589,4882,411,4469,684,393,327,66,265,17,4,218,18,7,11,3,2,14,4,4,2
2019,13693,290,28,27,196,2627,1704,850,841,16,7,949,14,488,488,1744,2252,765,401,5699,858,742,167,554,154,3143,28,45,5,4972,665,1851,126,590,1553,171,12,1203,46,59,60,1001,35,13570,388,839,9,724,72,810,425,63,170,815,124,941,7250,502,229,201,72328,17054,17254.504,69,6,360,1025,64,482,173,39111,1346,328,130,203,108,576,37764,1562,2874,14,26393,1078,5,723,4782,332,10502,7,305,4048,138,595,780,2450,52,743,52,1330,5659,41,171,21,13,43,1279,159,153,51,61,155,46,18,637,479,1211,90,1026,7857,3166,101,68,113,99,419,37,211,1592,59,463,1252,1,65,15,62,5,69,24,36,63,119,789,1453,39,28,42,110,531,3,7,84,100,19,463,20,1984,72,122,792,728,6,181,79,10505,717,1,5,3,101,207,2,6,262,48,4,2,45,2,1,17,1,3179,8,71,122,514,208,2052,132,69,6608,679,271,2849,241,879,289,6,13,162,571,9,48,589,4882,411,4469,684,393,327,66,265,17,4,218,18,7,11,3,2,14,4,4,2
