yr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,
1950,0.022431584,0.020116677,0.020116677,0.020116677,0.020116677,0.019825535,0.019825535,0.019825535,0.019825535,0.019825535,0.021249469,0.021249469,0.021249469,0.021249469,0.021249469,0.023132084,0.023132084,0.023132084,0.023132084,0.023132084,0.025412961,0.025412961,0.025412961,0.025412961,0.025412961,0.028105677,0.028105677,0.028105677,0.028105677,0.028105677,0.031725888,0.031725888,0.031725888,0.031725888,0.031725888,0.036443149,0.036443149,0.036443149,0.036443149,0.036443149,0.042265427,0.042265427,0.042265427,0.042265427,0.042265427,0.049236829,0.049236829,0.049236829,0.049236829,0.049236829,0.058207218,0.058207218,0.058207218,0.058207218,0.058207218,0.071633238,0.071633238,0.071633238,0.071633238,0.071633238,0.090334237,0.090334237,0.090334237,0.090334237,0.090334237,0.114678899,0.114678899,0.114678899,0.114678899,0.114678899,0.14619883,0.14619883,0.14619883,0.14619883,0.14619883,0.201612903,0.201612903,0.201612903,0.201612903,0.201612903,0.289855072,0.289855072,0.289855072,0.289855072,0.289855072,0.421940928,0.421940928,0.421940928,0.421940928,0.421940928,0.591715976,0.591715976,0.591715976,0.591715976,0.591715976,0.775193798,0.775193798,0.775193798,0.775193798,0.775193798,1,
2000,0.014112334,0.013918272,0.013918272,0.013918272,0.013918272,0.01463015,0.01463015,0.01463015,0.01463015,0.01463015,0.01573168,0.01573168,0.01573168,0.01573168,0.01573168,0.017032293,0.017032293,0.017032293,0.017032293,0.017032293,0.018543243,0.018543243,0.018543243,0.018543243,0.018543243,0.020314055,0.020314055,0.020314055,0.020314055,0.020314055,0.022458788,0.022458788,0.022458788,0.022458788,0.022458788,0.025101662,0.025101662,0.025101662,0.025101662,0.025101662,0.028426858,0.028426858,0.028426858,0.028426858,0.028426858,0.032657327,0.032657327,0.032657327,0.032657327,0.032657327,0.038194179,0.038194179,0.038194179,0.038194179,0.038194179,0.045603794,0.045603794,0.045603794,0.045603794,0.045603794,0.055763118,0.055763118,0.055763118,0.055763118,0.055763118,0.069851914,0.069851914,0.069851914,0.069851914,0.069851914,0.089944235,0.089944235,0.089944235,0.089944235,0.089944235,0.117924528,0.117924528,0.117924528,0.117924528,0.117924528,0.159821,0.159821,0.159821,0.159821,0.159821,0.215285253,0.215285253,0.215285253,0.215285253,0.215285253,0.319488818,0.319488818,0.319488818,0.319488818,0.319488818,0.441306267,0.441306267,0.441306267,0.441306267,0.441306267,1,
2010,0.013289566,0.013291863,0.013291863,0.013291863,0.013291863,0.013987579,0.013987579,0.013987579,0.013987579,0.013987579,0.015011409,0.015011409,0.015011409,0.015011409,0.015011409,0.016206667,0.016206667,0.016206667,0.016206667,0.016206667,0.017600056,0.017600056,0.017600056,0.017600056,0.017600056,0.019240389,0.019240389,0.019240389,0.019240389,0.019240389,0.02122151,0.02122151,0.02122151,0.02122151,0.02122151,0.023655761,0.023655761,0.023655761,0.023655761,0.023655761,0.026696567,0.026696567,0.026696567,0.026696567,0.026696567,0.030552076,0.030552076,0.030552076,0.030552076,0.030552076,0.035565672,0.035565672,0.035565672,0.035565672,0.035565672,0.042261854,0.042261854,0.042261854,0.042261854,0.042261854,0.051408596,0.051408596,0.051408596,0.051408596,0.051408596,0.064205457,0.064205457,0.064205457,0.064205457,0.064205457,0.082596845,0.082596845,0.082596845,0.082596845,0.082596845,0.109781535,0.109781535,0.109781535,0.109781535,0.109781535,0.152183838,0.152183838,0.152183838,0.152183838,0.152183838,0.21486893,0.21486893,0.21486893,0.21486893,0.21486893,0.322164948,0.322164948,0.322164948,0.322164948,0.322164948,0.454545455,0.454545455,0.454545455,0.454545455,0.454545455,1,
2011,0.013289566,0.013291863,0.013291863,0.013291863,0.013291863,0.013987579,0.013987579,0.013987579,0.013987579,0.013987579,0.015011409,0.015011409,0.015011409,0.015011409,0.015011409,0.016206667,0.016206667,0.016206667,0.016206667,0.016206667,0.017600056,0.017600056,0.017600056,0.017600056,0.017600056,0.019240389,0.019240389,0.019240389,0.019240389,0.019240389,0.02122151,0.02122151,0.02122151,0.02122151,0.02122151,0.023655761,0.023655761,0.023655761,0.023655761,0.023655761,0.026696567,0.026696567,0.026696567,0.026696567,0.026696567,0.030552076,0.030552076,0.030552076,0.030552076,0.030552076,0.035565672,0.035565672,0.035565672,0.035565672,0.035565672,0.042261854,0.042261854,0.042261854,0.042261854,0.042261854,0.051408596,0.051408596,0.051408596,0.051408596,0.051408596,0.064205457,0.064205457,0.064205457,0.064205457,0.064205457,0.082596845,0.082596845,0.082596845,0.082596845,0.082596845,0.109781535,0.109781535,0.109781535,0.109781535,0.109781535,0.152183838,0.152183838,0.152183838,0.152183838,0.152183838,0.21486893,0.21486893,0.21486893,0.21486893,0.21486893,0.322164948,0.322164948,0.322164948,0.322164948,0.322164948,0.454545455,0.454545455,0.454545455,0.454545455,0.454545455,1,
2012,0.013289566,0.013291863,0.013291863,0.013291863,0.013291863,0.013987579,0.013987579,0.013987579,0.013987579,0.013987579,0.015011409,0.015011409,0.015011409,0.015011409,0.015011409,0.016206667,0.016206667,0.016206667,0.016206667,0.016206667,0.017600056,0.017600056,0.017600056,0.017600056,0.017600056,0.019240389,0.019240389,0.019240389,0.019240389,0.019240389,0.02122151,0.02122151,0.02122151,0.02122151,0.02122151,0.023655761,0.023655761,0.023655761,0.023655761,0.023655761,0.026696567,0.026696567,0.026696567,0.026696567,0.026696567,0.030552076,0.030552076,0.030552076,0.030552076,0.030552076,0.035565672,0.035565672,0.035565672,0.035565672,0.035565672,0.042261854,0.042261854,0.042261854,0.042261854,0.042261854,0.051408596,0.051408596,0.051408596,0.051408596,0.051408596,0.064205457,0.064205457,0.064205457,0.064205457,0.064205457,0.082596845,0.082596845,0.082596845,0.082596845,0.082596845,0.109781535,0.109781535,0.109781535,0.109781535,0.109781535,0.152183838,0.152183838,0.152183838,0.152183838,0.152183838,0.21486893,0.21486893,0.21486893,0.21486893,0.21486893,0.322164948,0.322164948,0.322164948,0.322164948,0.322164948,0.454545455,0.454545455,0.454545455,0.454545455,0.454545455,1,
2013,0.013289566,0.013291863,0.013291863,0.013291863,0.013291863,0.013987579,0.013987579,0.013987579,0.013987579,0.013987579,0.015011409,0.015011409,0.015011409,0.015011409,0.015011409,0.016206667,0.016206667,0.016206667,0.016206667,0.016206667,0.017600056,0.017600056,0.017600056,0.017600056,0.017600056,0.019240389,0.019240389,0.019240389,0.019240389,0.019240389,0.02122151,0.02122151,0.02122151,0.02122151,0.02122151,0.023655761,0.023655761,0.023655761,0.023655761,0.023655761,0.026696567,0.026696567,0.026696567,0.026696567,0.026696567,0.030552076,0.030552076,0.030552076,0.030552076,0.030552076,0.035565672,0.035565672,0.035565672,0.035565672,0.035565672,0.042261854,0.042261854,0.042261854,0.042261854,0.042261854,0.051408596,0.051408596,0.051408596,0.051408596,0.051408596,0.064205457,0.064205457,0.064205457,0.064205457,0.064205457,0.082596845,0.082596845,0.082596845,0.082596845,0.082596845,0.109781535,0.109781535,0.109781535,0.109781535,0.109781535,0.152183838,0.152183838,0.152183838,0.152183838,0.152183838,0.21486893,0.21486893,0.21486893,0.21486893,0.21486893,0.322164948,0.322164948,0.322164948,0.322164948,0.322164948,0.454545455,0.454545455,0.454545455,0.454545455,0.454545455,1,
2014,0.013289566,0.013291863,0.013291863,0.013291863,0.013291863,0.013987579,0.013987579,0.013987579,0.013987579,0.013987579,0.015011409,0.015011409,0.015011409,0.015011409,0.015011409,0.016206667,0.016206667,0.016206667,0.016206667,0.016206667,0.017600056,0.017600056,0.017600056,0.017600056,0.017600056,0.019240389,0.019240389,0.019240389,0.019240389,0.019240389,0.02122151,0.02122151,0.02122151,0.02122151,0.02122151,0.023655761,0.023655761,0.023655761,0.023655761,0.023655761,0.026696567,0.026696567,0.026696567,0.026696567,0.026696567,0.030552076,0.030552076,0.030552076,0.030552076,0.030552076,0.035565672,0.035565672,0.035565672,0.035565672,0.035565672,0.042261854,0.042261854,0.042261854,0.042261854,0.042261854,0.051408596,0.051408596,0.051408596,0.051408596,0.051408596,0.064205457,0.064205457,0.064205457,0.064205457,0.064205457,0.082596845,0.082596845,0.082596845,0.082596845,0.082596845,0.109781535,0.109781535,0.109781535,0.109781535,0.109781535,0.152183838,0.152183838,0.152183838,0.152183838,0.152183838,0.21486893,0.21486893,0.21486893,0.21486893,0.21486893,0.322164948,0.322164948,0.322164948,0.322164948,0.322164948,0.454545455,0.454545455,0.454545455,0.454545455,0.454545455,1,
2015,0.013155471,0.013178182,0.013178182,0.013178182,0.013178182,0.01387001,0.01387001,0.01387001,0.01387001,0.01387001,0.014879845,0.014879845,0.014879845,0.014879845,0.014879845,0.016056519,0.016056519,0.016056519,0.016056519,0.016056519,0.017427068,0.017427068,0.017427068,0.017427068,0.017427068,0.019040366,0.019040366,0.019040366,0.019040366,0.019040366,0.020985918,0.020985918,0.020985918,0.020985918,0.020985918,0.023372677,0.023372677,0.023372677,0.023372677,0.023372677,0.026350461,0.026350461,0.026350461,0.026350461,0.026350461,0.030123204,0.030123204,0.030123204,0.030123204,0.030123204,0.03502259,0.03502259,0.03502259,0.03502259,0.03502259,0.04156276,0.04156276,0.04156276,0.04156276,0.04156276,0.050489751,0.050489751,0.050489751,0.050489751,0.050489751,0.062984191,0.062984191,0.062984191,0.062984191,0.062984191,0.080951995,0.080951995,0.080951995,0.080951995,0.080951995,0.107596299,0.107596299,0.107596299,0.107596299,0.107596299,0.149253731,0.149253731,0.149253731,0.149253731,0.149253731,0.211148649,0.211148649,0.211148649,0.211148649,0.211148649,0.317158262,0.317158262,0.317158262,0.317158262,0.317158262,0.449438202,0.449438202,0.449438202,0.449438202,0.449438202,1,
2016,0.013155471,0.013178182,0.013178182,0.013178182,0.013178182,0.01387001,0.01387001,0.01387001,0.01387001,0.01387001,0.014879845,0.014879845,0.014879845,0.014879845,0.014879845,0.016056519,0.016056519,0.016056519,0.016056519,0.016056519,0.017427068,0.017427068,0.017427068,0.017427068,0.017427068,0.019040366,0.019040366,0.019040366,0.019040366,0.019040366,0.020985918,0.020985918,0.020985918,0.020985918,0.020985918,0.023372677,0.023372677,0.023372677,0.023372677,0.023372677,0.026350461,0.026350461,0.026350461,0.026350461,0.026350461,0.030123204,0.030123204,0.030123204,0.030123204,0.030123204,0.03502259,0.03502259,0.03502259,0.03502259,0.03502259,0.04156276,0.04156276,0.04156276,0.04156276,0.04156276,0.050489751,0.050489751,0.050489751,0.050489751,0.050489751,0.062984191,0.062984191,0.062984191,0.062984191,0.062984191,0.080951995,0.080951995,0.080951995,0.080951995,0.080951995,0.107596299,0.107596299,0.107596299,0.107596299,0.107596299,0.149253731,0.149253731,0.149253731,0.149253731,0.149253731,0.211148649,0.211148649,0.211148649,0.211148649,0.211148649,0.317158262,0.317158262,0.317158262,0.317158262,0.317158262,0.449438202,0.449438202,0.449438202,0.449438202,0.449438202,1,
2017,0.013155471,0.013178182,0.013178182,0.013178182,0.013178182,0.01387001,0.01387001,0.01387001,0.01387001,0.01387001,0.014879845,0.014879845,0.014879845,0.014879845,0.014879845,0.016056519,0.016056519,0.016056519,0.016056519,0.016056519,0.017427068,0.017427068,0.017427068,0.017427068,0.017427068,0.019040366,0.019040366,0.019040366,0.019040366,0.019040366,0.020985918,0.020985918,0.020985918,0.020985918,0.020985918,0.023372677,0.023372677,0.023372677,0.023372677,0.023372677,0.026350461,0.026350461,0.026350461,0.026350461,0.026350461,0.030123204,0.030123204,0.030123204,0.030123204,0.030123204,0.03502259,0.03502259,0.03502259,0.03502259,0.03502259,0.04156276,0.04156276,0.04156276,0.04156276,0.04156276,0.050489751,0.050489751,0.050489751,0.050489751,0.050489751,0.062984191,0.062984191,0.062984191,0.062984191,0.062984191,0.080951995,0.080951995,0.080951995,0.080951995,0.080951995,0.107596299,0.107596299,0.107596299,0.107596299,0.107596299,0.149253731,0.149253731,0.149253731,0.149253731,0.149253731,0.211148649,0.211148649,0.211148649,0.211148649,0.211148649,0.317158262,0.317158262,0.317158262,0.317158262,0.317158262,0.449438202,0.449438202,0.449438202,0.449438202,0.449438202,1,
