Country,Period,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
Burundi,2005-2010,0.101135,0.017613321,0.017929112,0.018256434,0.018595929,0.006976854,0.007025873,0.007075585,0.007126006,0.00717715,0.004058377,0.004074914,0.004091587,0.004108397,0.004125345,0.004075151,0.004091825,0.004108637,0.004125588,0.004142679,0.005658881,0.005691086,0.00572366,0.005756609,0.005789939,0.007821949,0.007883614,0.00794626,0.008009908,0.008074585,0.010670082,0.010785161,0.010902749,0.011022929,0.011145788,0.01350305,0.013687878,0.013877837,0.014073141,0.014274022,0.01486934,0.015093774,0.015325088,0.015563601,0.015809656,0.014933579,0.015159972,0.015393334,0.015633993,0.015882297,0.015564986,0.015811085,0.016065092,0.016327393,0.016598401,0.018328251,0.018670448,0.019025666,0.019394662,0.019778255,0.024762542,0.025391295,0.026052809,0.026749715,0.027484929,0.036372488,0.037745381,0.039225981,0.040827479,0.042565313,0.054221475,0.057329992,0.060816607,0.064754773,0.069238282,0.078485073,0.085169616,0.093098806,0.102655952,0.11439977,0.107184101,0.120051739,0.136430452,0.157984324,0.187626346
Comoros,2005-2010,0.072246,0.007568806,0.00762653,0.007685141,0.007744659,0.002196095,0.002200928,0.002205783,0.002210659,0.002215557,0.001457987,0.001460116,0.001462251,0.001464392,0.001466539,0.002388016,0.002393732,0.002399475,0.002405247,0.002411046,0.003240638,0.003251174,0.003261778,0.003272452,0.003283196,0.003687057,0.003700702,0.003714448,0.003728296,0.003742249,0.004157293,0.004174649,0.004192149,0.004209797,0.004227595,0.00499647,0.00502156,0.005046903,0.005072504,0.005098365,0.006275559,0.00631519,0.006355325,0.006395974,0.006437145,0.008324172,0.008394045,0.008465102,0.008537372,0.008610886,0.011565691,0.011701022,0.011839557,0.011981411,0.012126706,0.016595284,0.016875335,0.017165,0.017464783,0.017775223,0.024300444,0.024905663,0.025541798,0.026211281,0.026916805,0.035869192,0.037203657,0.038641253,0.040194416,0.041877664,0.053754174,0.056807832,0.060229329,0.06408939,0.068478111,0.078385165,0.085051978,0.092958262,0.102485099,0.114187629,0.107616064,0.120593906,0.137131078,0.158924577,0.188954014
Djibouti,2005-2010,0.082081,0.008993323,0.009074937,0.009158046,0.009242691,0.002870616,0.002878881,0.002887193,0.002895553,0.002903961,0.001875114,0.001878637,0.001882173,0.001885722,0.001889285,0.002580109,0.002586783,0.002593492,0.002600236,0.002607015,0.003800427,0.003814925,0.003829534,0.003844256,0.003859091,0.005144382,0.005170983,0.005197861,0.00522502,0.005252464,0.006746435,0.006792259,0.006838709,0.006885799,0.006933542,0.008130817,0.00819747,0.008265223,0.008334107,0.008404148,0.008482062,0.008554623,0.008628436,0.008703534,0.00877995,0.009243979,0.009330228,0.009418101,0.009507645,0.009598908,0.01220909,0.012359994,0.012514675,0.012673277,0.012835951,0.017340973,0.017646989,0.017964,0.018292608,0.018633463,0.025217129,0.025869484,0.026556486,0.027280973,0.028046098,0.036932262,0.038348561,0.039877818,0.041534108,0.043333944,0.055078232,0.058288669,0.061896536,0.0659805,0.070641459,0.079784576,0.086702063,0.094932945,0.10489051,0.117181765,0.108855446,0.1221524,0.139149894,0.161642419,0.192808442
Eritrea,2005-2010,0.053884,0.00469296,0.004715088,0.004737426,0.004759976,0.001485202,0.001487411,0.001489627,0.001491849,0.001494078,0.001164743,0.001166101,0.001167463,0.001168827,0.001170195,0.001786906,0.001790104,0.001793315,0.001796536,0.00179977,0.002691404,0.002698667,0.00270597,0.002713312,0.002720694,0.003611281,0.00362437,0.003637553,0.003650834,0.003664211,0.004828599,0.004852028,0.004875684,0.004899573,0.004923697,0.006360406,0.00640112,0.006442358,0.006484131,0.006526449,0.008236744,0.008305151,0.008374705,0.008445433,0.008517365,0.010790445,0.010908148,0.011028448,0.011151431,0.011277188,0.014803074,0.015025498,0.015254708,0.015491019,0.015734766,0.02131468,0.02177889,0.02226377,0.022770732,0.02330132,0.03120099,0.032205845,0.033277577,0.034423094,0.035650287,0.044108003,0.046143291,0.048375496,0.050834647,0.053557209,0.060049451,0.063885755,0.068245682,0.073244289,0.079033005,0.080046539,0.08701151,0.09530406,0.105343747,0.117747734,0.102798642,0.114577002,0.129403688,0.148637993,0.174588473
Ethiopia,2005-2010,0.072458,0.010912236,0.011032627,0.011155704,0.011281557,0.004399354,0.004418793,0.004438406,0.004458193,0.004478158,0.002599296,0.00260607,0.002612879,0.002619724,0.002626605,0.002852764,0.002860926,0.002869134,0.00287739,0.002885693,0.003956383,0.003972098,0.003987939,0.004003906,0.004020002,0.004987178,0.005012174,0.005037423,0.005062927,0.005088691,0.006330797,0.006371132,0.006411983,0.006453362,0.006495278,0.007700867,0.007760631,0.007821329,0.007882985,0.00794562,0.008616316,0.008691202,0.008767402,0.008844949,0.00892388,0.009510761,0.009602084,0.009695178,0.009790094,0.009886888,0.01123477,0.011362424,0.011493013,0.011626638,0.011763407,0.014662429,0.014880615,0.015105393,0.015337065,0.015575955,0.0209565,0.021405075,0.021873275,0.022362414,0.02287393,0.031482489,0.032505854,0.033597985,0.034766054,0.036018267,0.048088951,0.050518324,0.053206213,0.0561962,0.059542248,0.071423303,0.076916966,0.083326162,0.090900556,0.099989673,0.100140657,0.111284789,0.125219854,0.143144371,0.167057747
Kenya,2005-2010,0.064716,0.009757207,0.009853349,0.009951403,0.010051429,0.003851997,0.003866893,0.003881904,0.003897032,0.003912278,0.002841264,0.002849359,0.002857502,0.00286569,0.002873926,0.002826291,0.002834302,0.002842358,0.00285046,0.002858608,0.003998146,0.004014196,0.004030374,0.004046684,0.004063126,0.006595052,0.006638835,0.006683204,0.00672817,0.006773745,0.010898603,0.011018691,0.011141456,0.011266986,0.011395378,0.014959482,0.015186667,0.015420858,0.015662386,0.015911599,0.015951402,0.016209973,0.016477066,0.016753108,0.017038557,0.014560321,0.014775457,0.014997045,0.01522538,0.015460777,0.013474728,0.013658777,0.013847922,0.01404238,0.014242377,0.014740195,0.014960719,0.015187941,0.015422173,0.015663741,0.019728132,0.020125163,0.020538504,0.02096918,0.021418304,0.029501333,0.030398118,0.031351133,0.032365839,0.033448425,0.045542754,0.047715866,0.050106753,0.052749878,0.05568738,0.068485428,0.073520512,0.079354711,0.086194663,0.094324973,0.097224246,0.107694791,0.120692774,0.137258936,0.159096328
Madagascar,2005-2010,0.044783,0.00506386,0.005089633,0.00511567,0.005141975,0.002233112,0.00223811,0.002243131,0.002248174,0.002253239,0.001277516,0.00127915,0.001280789,0.001282431,0.001284078,0.001883886,0.001887442,0.001891011,0.001894593,0.00189819,0.00259968,0.002606456,0.002613267,0.002620114,0.002626997,0.002929009,0.002937613,0.002946268,0.002954974,0.002963732,0.003146268,0.003156199,0.003166192,0.003176248,0.003186369,0.003628583,0.003641797,0.003655108,0.003668517,0.003682025,0.004439769,0.004459569,0.004479546,0.004499702,0.004520041,0.005789498,0.005823211,0.005857319,0.00589183,0.005926749,0.007951502,0.008015235,0.008079998,0.008145816,0.008212716,0.011128121,0.01125335,0.011381429,0.011512457,0.011646537,0.016709408,0.016993357,0.017287123,0.017591225,0.017906217,0.026068698,0.026766465,0.027502613,0.028280398,0.029103455,0.041096276,0.042857562,0.044776577,0.046875502,0.04918088,0.063326255,0.067607591,0.072509804,0.078178513,0.084808733,0.092102953,0.101446473,0.112899755,0.127268317,0.145827543
Malawi,2005-2010,0.095231,0.01121444,0.01134163,0.011471738,0.011604866,0.002746744,0.00275431,0.002761917,0.002769566,0.002777258,0.00203541,0.002039562,0.00204373,0.002047915,0.002052118,0.002027219,0.002031337,0.002035471,0.002039623,0.002043792,0.003632536,0.003645779,0.00365912,0.003672558,0.003686095,0.007796033,0.007857288,0.007919514,0.007982734,0.00804697,0.013967375,0.014165226,0.014368763,0.014578234,0.014793903,0.01913588,0.019509206,0.019897388,0.020301332,0.020722016,0.019907444,0.0203118,0.020732923,0.021171878,0.021629822,0.017021672,0.017316427,0.01762157,0.017937659,0.018265296,0.014288491,0.014495611,0.014708825,0.014928404,0.015154639,0.014576935,0.014792565,0.015014671,0.015243548,0.01547951,0.01905443,0.019424553,0.019809341,0.020209681,0.020626537,0.029138213,0.03001273,0.030941365,0.031929301,0.032982406,0.048115997,0.050548173,0.053239323,0.056233138,0.059583717,0.076515253,0.082854918,0.090340035,0.099311873,0.11026222,0.111681955,0.125722938,0.143802169,0.167954372,0.201857166
Mauritius,2005-2010,0.012764,0.000656659,0.000657091,0.000657523,0.000657955,0.000243471,0.00024353,0.00024359,0.000243649,0.000243708,0.000283127,0.000283208,0.000283288,0.000283368,0.000283448,0.000503016,0.000503269,0.000503523,0.000503776,0.00050403,0.000719856,0.000720375,0.000720894,0.000721414,0.000721935,0.000930686,0.000931553,0.000932422,0.000933292,0.000934164,0.00134256,0.001344365,0.001346174,0.001347989,0.001349809,0.002096204,0.002100608,0.00210503,0.00210947,0.002113929,0.003266179,0.003276881,0.003287655,0.003298499,0.003309415,0.005121721,0.005148089,0.005174729,0.005201646,0.005228844,0.007850142,0.007912255,0.007975358,0.008039475,0.008104632,0.012391317,0.012546788,0.01270621,0.012869736,0.013037525,0.019080168,0.019451302,0.019837161,0.020238638,0.020656702,0.027316508,0.028083656,0.028895137,0.029754909,0.030667415,0.038771608,0.040335479,0.042030812,0.043874911,0.045888254,0.054398317,0.057527728,0.061039173,0.065007157,0.069526903,0.074109098,0.080040853,0.087004791,0.095296,0.105333899
Mayotte,2005-2010,0.00595,7.49E-05,7.50E-05,7.50E-05,7.50E-05,3.18E-05,3.18E-05,3.18E-05,3.18E-05,3.18E-05,0.00011046,0.000110472,0.000110484,0.000110496,0.000110508,0.000386047,0.000386196,0.000386345,0.000386494,0.000386644,0.000719674,0.000720192,0.000720711,0.000721231,0.000721752,0.000953363,0.000954273,0.000955184,0.000956098,0.000957013,0.001591569,0.001594106,0.001596651,0.001599205,0.001601766,0.002975039,0.002983916,0.002992847,0.003001831,0.003010869,0.004090079,0.004106877,0.004123812,0.004140889,0.004158107,0.004457265,0.004477221,0.004497357,0.004517674,0.004538176,0.005719158,0.005752055,0.005785332,0.005818997,0.005853056,0.009184875,0.009270019,0.009356756,0.009445132,0.009535193,0.013524953,0.013710385,0.013900973,0.014096934,0.014298499,0.016506386,0.01678342,0.017069911,0.017366354,0.017673274,0.024586023,0.025205731,0.025857488,0.026543845,0.027267633,0.037285039,0.038729054,0.040289425,0.041980808,0.043820424,0.05500318,0.058204619,0.061801767,0.065872824,0.070518047
