,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Azerbaijan,Bangladesh,Belarus,Benin,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Central African Republic,Chad,Chile,China,Colombia,Congo DR,Congo,Costa Rica,Cote dIvoire,Cuba,Djibouti,Dominican Republic,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,Fiji,Gabon,Gambia,Georgia,Ghana,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Jamaica,Jordan,Kazakhstan,Kenya,"Korea, DPR",Kyrgyzstan,Lao PDR,Lebanon,Lesotho,Liberia,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Nicaragua,Niger,Nigeria,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Romania,Russia,Rwanda,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,Sri Lanka,Sudan,Swaziland,Syria,Tajikistan,Tanzania,Thailand,Togo,Tonga,Tunisia,Turkey,Turkmenistan,Uganda,Ukraine,Uruguay,Uzbekistan,Vanuatu,Venezuela,Viet Nam,Yemen,Zambia,Zimbabwe
1,32329.893,3212.084,35933.98,19598.937,40718.863,3096.298,9293.776,150302.539,9548.738,9090.841,737.372,10076.943,3748.227,2028.263,196418.573,7439.017,16951.395,8566.141,14287.757,20008.95,4482.369,11514.748,17250.197,1346059.014,46871.283,67692.156,4135.4,4720.738,20132.001,11242.734,904.615,10044.074,14648.582,82436.175,6219.34,5409.141,84647.2,867.402,1532.465,1774.224,4324.294,24939.514,104.755,14740.232,10211.776,1545.56,755.203,10112.594,7745.22,1240042.532,242030.545,74687.605,32630.369,2748.17,6322.794,16187.202,41564.222,24426.732,5385.546,6280.634,4254.137,2191.221,4124.483,2061.634,21292.55,15365.804,28826.898,319.626,15824.61,3537.998,1305.104,114654.84,541.076,3540.531,2796.376,631.58,32233.585,23905.443,48278.803,2321.314,30447.653,5862.146,16054.624,162316.474,176550.517,3567.105,7006.409,6560.588,29365.563,94743.52,21413.664,142671.895,10931.562,175.817,109.236,183.707,12753.966,9843.831,5991.582,551.682,9548.444,50399.695,21021.71,44586.942,1201.878,20742.805,6968.651,46171.221,69442.231,6148.234,104.407,10580.841,73550.084,5098.837,34475.099,45141.183,3376.545,27724.755,245.353,29401.484,88651.446,24774.215,13461.768,12738.327
2,68141.06,2555.568,40232.56,37094.802,43746.927,2512.001,10047.078,165965.716,6893.418,19283.989,826.394,14534.459,2565.536,2104.491,191084.886,4736.845,41884.643,11932.958,16234.496,33588.239,7339.74,24207.09,17411.84,1130211.306,53156.707,131207.979,7720.492,5191.817,35655.107,8644.551,1417.795,10992.76,16779.453,106691.242,6427.726,10143.19,125833.61,874.976,2413.963,3547.502,2733.062,43149.077,79.057,27444.156,20398.429,2831.011,648.034,12200.113,11150.727,1457432.859,252677.267,73213.702,73816.546,2146.632,8533.437,18352.417,84974.54,22771.408,6651.879,7152.316,4010.836,2331.067,8557.909,1639.864,47021.206,44531.197,37985.216,347.444,37718.793,6252.313,1178.753,123493.736,630.316,2252.52,3539.381,523.358,33812.957,43862.182,47592.337,3093.269,39578.379,6640.208,50183.464,348396.221,238538.469,4432.283,11887.479,8906.793,33574.731,133923.47,16148.377,108941.033,23104.81,175.289,95.918,189.531,25149.576,7631.463,9716.414,1024.695,25574.978,47739.628,20004.209,80023.698,1411.716,28593.514,9212.451,122812.92,61713.987,9703.068,120.428,10981.082,79259.05,5693.346,83579.66,31066.141,3167.81,30383.063,451.255,35985.95,89651.995,54390.057,40484.778,17515.408
3,154.5115442,NA,64.43464282,197.9659573,21.97432179,58.31180585,125.5204222,183.7842749,53.07436189,48.62963418,185.0103967,109.6115163,NA,170.8108106,29.52598575,35.96991971,40.22492217,101.4572826,366.1517061,131.5346327,227.8981427,88.2806909,14.11292528,69.3451697,26.90231616,240.8283815,227.2527302,12.73252173,128.6301145,7.09191888,460.826827,47.99635423,51.77912814,15.96782218,22.01885616,62.91939387,152.6450875,25.97233989,250.235795,186.7609629,116.965479,62.83956423,3.36158843,44.30723132,117.7625436,146.718398,68.01225739,158.0652821,41.65181745,164.2381882,154.3398502,13.71038882,39.99999078,4.075045868,NA,139.7889776,168.1909294,295.7432449,123.4522304,137.8454393,10.31432719,130.2468165,217.1593438,NA,201.5489336,80.7306852,67.91033388,33.94099795,51.95655795,242.6908009,17.49137681,18.43911541,NA,133.1538248,NA,NA,86.44414804,126.8778289,306.3991392,331.9955048,131.7798493,36.76275029,89.47414547,58.06542337,189.6259737,35.80198403,211.1298983,41.77824005,96.26060084,229.5109159,94.63354731,88.69265294,67.51771311,6.176322558,10.14677694,NA,102.9375326,18.74572099,469.0731051,NA,216.1922577,323.0465991,53.52702376,93.36572877,177.7580571,NA,152.7657772,105.6550508,91.23088774,49.06247883,NA,22.60189045,23.97888904,NA,83.64257657,76.08428641,16.35986859,117.0767621,43.60994772,24.29930157,144.7207797,44.15637816,141.5541427,110.543248
4,16,0.21,4.5,11,1.5,6.4,3.6,19,9,4.1,14,9.4,6.5,13,2.6,3,4.1,9.3,32,13,26,8.8,1.4,4,2,23,19,0.85,12,0.26,38,3.5,5.1,0.74,0.98,3.4,14,2,25,19,3.3,5.3,1.4,2.3,11,12,17,14,1.4,18,13,0.95,1.9,0.21,0.48,15,10,8.5,13,7.8,0.53,6,21,1.8,21,6.8,2.7,1.5,4.5,30,1,1.9,4.8,17,4.9,0.18,0.88,16,23,13,9.8,2.9,8.5,6.5,17,5.7,18,2.7,3.8,28,6.8,17,5.9,1.9,1.9,0.62,8.3,1.5,55,8.1,23,23,3.2,9.3,15,0.71,11,7.5,7.2,4,1.2,1.2,0.28,9.1,7.6,20,1.6,7.4,3.2,2.3,14,3.6,10,11
5,0,NA,0.565357179,52.03404267,1.025678209,0.688194147,1.479577844,0.215725125,1.925638111,9.370365821,3.989603309,4.388483651,NA,315.1891894,7.474014248,0.030080286,9.775077835,30.54271743,20.84829388,89.46536726,159.1018573,36.7193091,0.887074717,0.654830304,2.097683839,42.17161846,95.74726985,1.267478273,55.36988548,0.40808112,48.17317296,9.003645775,4.220871857,0.032177823,2.981143837,6.080606134,38.35491248,0.027660106,171.764205,34.23903714,1.034521049,18.16043577,0.03841157,6.692768676,36.23745638,41.28160205,23.98774261,37.93471788,5.348182548,6.76181179,3.660149755,0.28961118,9.22E-06,1.324954132,NA,1.211022386,130.8090706,0.256755126,1.547769588,4.154560737,0.685672814,422.7531835,19.84065625,NA,0.451066444,146.2693148,8.08966612,0.059002047,9.043442047,28.30919908,0.508623192,0.560884591,NA,6.846175224,NA,NA,0.555851965,244.1221711,28.60086079,451.0044952,2.220150705,1.237249712,8.525854527,19.93457663,0.374026295,6.198015974,19.87010168,1.221759952,1.739399164,0.489084143,1.366452693,7.307347061,34.48228689,1.123677442,9.853223064,NA,7.062467363,0.254279007,59.92689492,NA,17.80774231,474.9534009,0.472976238,6.634271226,855.2419429,NA,3.23422284,65.34494919,17.76911226,10.93752117,NA,0.398109551,0.021110963,NA,98.35742343,9.915713593,2.640131415,1.923237922,15.39005228,2.700698433,8.27922026,0.843621837,292.4458573,403.456752
6,0,NA,0.311875043,11.00397353,0.268320029,0.199385313,0.724657232,0.061225092,0.859762364,3.726422284,0.87390923,1.638363394,NA,84.50548317,1.552730283,0.126380381,3.827267232,14.37009205,5.457928254,40.71956946,68.80194739,16.60300521,0.23001779,0.406936563,0.910151557,13.21463607,34.17056928,0.527475722,22.49113024,0.171772572,22.34030868,4.122956472,1.364759392,0.008684839,0.407859422,1.729024684,24.15201316,0.028384739,51.64016333,10.43803263,0.254328016,8.386539656,5.82E-05,2.087920615,12.62664721,14.31592106,4.72480526,15.28564033,1.660655547,3.178825621,0.891994583,0.710629056,6.70E-12,0.854490356,NA,0.566175572,33.14431745,0.121535296,0.404180207,1.471770108,0.159314758,154.4961725,7.736062305,NA,0.25633052,51.60235891,2.143376171,0.092402364,3.052177784,11.78232184,1.181649033,0.321205859,NA,3.229203751,NA,NA,0.200089321,97.04759575,8.859599473,119.0488297,0.645093205,0.163499437,4.386833918,29.32091026,0.145673962,0.919743546,5.570487102,0.298229851,0.516658197,0.103701972,0.472066121,3.210880858,10.34681028,0.028105654,2.656750643,NA,2.925600902,0.105258799,18.94237522,NA,6.816551841,175.9672673,0.07338281,2.50250461,224.6081396,NA,1.066759675,24.24378773,8.543612705,5.866270544,NA,0.068986013,0.011555516,NA,43.76879521,4.314809487,0.391377542,0.689398127,3.398847149,0.709528119,3.146656655,0.46200305,79.53677809,193.9436456
7,32358.26,3215.988,35980.193,19618.432,40764.561,3100.236,9306.023,150493.658,9559.441,9099.922,738.267,10088.108,3752.228,2030.738,196655.014,7446.135,16967.845,8575.172,14305.183,20030.362,4486.837,11525.496,17269.525,1347565.324,46927.125,67757.577,4139.748,4726.575,20152.894,11253.665,905.564,10056.181,14666.055,82536.77,6227.491,5415.28,84734.262,868.406,1534.262,1776.103,4329.026,24965.816,104.89,14757.316,10221.808,1547.061,756.04,10123.787,7754.687,1241491.96,242325.638,74798.599,32664.942,2751.273,6330.169,16206.75,41609.728,24451.285,5392.58,6288.037,4259.405,2193.843,4128.572,2063.893,21315.135,15380.888,28859.154,320.081,15839.538,3541.54,1306.593,114793.341,541.653,3544.864,2800.114,632.261,32272.974,23929.708,48336.763,2324.004,30485.798,5869.859,16068.994,162470.737,176745.364,3571.185,7013.829,6568.29,29399.817,94852.03,21436.495,142835.555,10942.95,176.044,109.365,183.874,12767.556,9853.969,5997.486,552.267,9556.873,50459.978,21045.394,44632.406,1203.33,20766.037,6976.958,46218.486,69518.555,6154.813,104.509,10594.057,73639.596,5105.301,34509.205,45190.18,3380.008,27760.267,245.619,29436.891,88791.996,24799.88,13474.959,12754.378
8,76249.991,2989.747,46521.56,42334.143,50559.806,2930.743,11578.484,194352.619,8001.011,21734.471,961.992,16769.393,2952.349,2502.791,222843.309,5459.131,46721.176,13703.001,18964.892,38472.407,8392.459,27252.049,20058.849,1295603.763,61764.353,148522.753,8801.176,6001.065,40673.593,9898.393,1619.732,12942.018,19549.39,123451.644,7607.108,11567.912,145187.304,1017.284,2783.767,4036.275,3185.945,49106.74,94.921,31594.785,23006.011,3185.172,766.143,14178.411,12938.753,1692007.631,293455.578,85343.693,83357.221,2569.228,9881.728,21210.04,96887.193,26381.631,7768.092,8384.309,4677.987,2788.468,9660.352,1881.191,53561.173,49719.099,43454.751,405.237,42130.177,7084.7,1366.915,143924.837,725.87,2660.593,4093.399,603.61,39199.971,50191.707,55295.866,3599.432,46495.296,7845.543,55435.162,389614.656,274875.396,5127.706,13549.364,10322.883,38832.436,154938.579,18534.956,126188.341,26002.584,205.188,112.659,218.965,28606.957,8797.014,11088.208,1162.515,28217.081,56757.058,23192.808,90961.6,1679.163,33051.312,10744.591,138312.14,71036.71,11130.448,138.176,12648.966,91616.772,6638.809,94259.414,36074.469,3663.253,35437.767,512.562,41820.642,103962.427,61576.664,45036.763,20613.539
9,188.1838961,NA,88.06603686,233.0147595,26.60337774,68.05656749,151.7949703,224.6032594,67.44305674,58.49973069,214.4479983,133.9639636,NA,190.6326205,35.99968086,40.9560156,47.34909053,113.2886121,422.6041287,159.4058747,270.3519847,104.9355331,17.79789439,79.03741055,31.65441527,274.9901324,273.6411403,14.31341394,147.9704576,8.507739754,558.6716366,58.78689913,62.29845274,18.94491267,26.32382014,93.40137949,222.2010654,29.92511813,296.6208803,226.1962774,130.5528951,71.36135602,3.271492918,53.56496576,142.7099153,176.5100954,81.59745309,189.6381335,51.17838199,181.2316947,185.8248714,18.5464625,45.99246217,4.620748514,6.5,164.3351466,175.5274839,344.5229475,148.91068,222.6525421,11.91825969,148.7602645,262.5352827,NA,244.3913325,86.1925367,74.05462113,38.89845503,54.09635192,293.0720723,20.61074243,21.2372575,NA,161.3636257,224,21,98.21602748,184.2250985,351.7330583,418.8492486,159.9948656,42.30992766,107.1118172,96.67935038,230.4243536,40.58170993,319.3388111,45.39073442,110.7380162,279.1521361,113.9919404,103.9585488,75.18396082,5.351245958,6.51824236,NA,124.2419657,20.63724551,570.256818,NA,261.5860748,385.2359997,65.33807618,112.1935682,215.607176,NA,185.4803414,113.2519571,110.4647535,59.36592964,18,26.44294643,26.96122818,NA,104.0414113,92.02331853,18.6474074,141.6012954,50.45353426,29.64937773,188.1986325,52.78350263,157.3571363,143.1643201
10,38,0.3,13,27,1.6,8.8,4.9,46,9.5,9.3,27,22,6.8,26,2.9,3,9.5,20,70,32,65,21,1.4,4.1,2.2,53,44,0.93,27,0.26,87,6.7,5.9,0.8,1.3,5,21,2,58,46,3.9,11,1.4,2.7,26,29,24,31,3.3,29,29,2.7,3.5,0.29,0.87,18,20,9,15,13,1.2,15,48,1.9,49,14,5.8,1.8,9.4,78,1,1.9,32,18,5.3,0.2,9.2,43,50,17,23,3.6,20,20,38,6,54,3.2,7.7,31,6.9,18,13,2.2,2,1.5,19,1.7,139,19,54,55,5.7,22,35,2.1,15,15,16,9.1,2.7,2.7,0.88,14,18,21,1.7,8.7,7.7,2.4,34,8.3,21,28
