set,rmort,rmortTB,CDRscaleO,fchild,vchild,rchild,w,pchild,pelderly,padult,n,uiscaleC,relderly,radult,x,fadult,felderly,vadult,CDRscale,e,nelderly,velderly,uiscaleA,uiscaleE,neta,CDRscaleE,p0
1,-0.6,0.74558117,1.545726604,0.077618159,0.000106593,0.013326941,0.014937203,0.048350497,0.152235277,0.246527178,0.227069691,0.602152279,0.17120824,0.013800812,0.254448027,0.338271837,0.590329187,0.000224977,1.802042235,0.700870417,0.170552434,0.018543976,0.509375072,-0.143349854,22.67013323,0.909136869,1267142
2,-0.6,0.74558117,1.545726604,0.077618159,0.000106593,0.013326941,0.014937203,0.048350497,0.152235277,0.246527178,0.227069691,0.602152279,0.17120824,0.013800812,0.254448027,0.338271837,0.590329187,0.000224977,1.802042235,0.700870417,0.170552434,0.018543976,0.509375072,-0.143349854,22.67013323,0.909136869,1267142
3,-0.6,-0.28998433,-0.147277987,0.118118523,0.000234929,0.01173285,0.011222164,0.019643655,0.304834387,0.221414058,0.132081917,1.799062246,0.146896248,0.008781748,0.447693593,0.498514978,0.553566933,0.000203585,-0.347982799,0.791342269,0.234570788,0.023315707,-0.270693308,0.071769823,12.86865909,0.120977683,1267142
4,-0.6,-0.33048643,0.207061034,0.007063586,0.000136448,0.006326013,0.017182159,0.022349752,0.142173857,0.149901543,0.101285011,1.911401069,0.176044885,0.011440594,0.393975084,0.5242746,0.407712394,0.000222289,0.119509026,0.57776724,0.139983948,0.002203562,1.794830816,1.5072131,5.892458035,1.298124214,1267142
5,-0.6,0.411282029,1.471063039,0.043264763,0.00020633,0.009295602,0.015319066,0.014076033,0.463483021,0.088433972,0.178758092,0.772093836,0.195472605,0.006610975,0.366675344,0.410105349,0.436394352,0.000107307,1.354670775,0.503797312,0.241118857,0.015731409,1.737174754,1.227786407,20.84416881,1.327359755,1267142
6,-0.6,-0.961765001,1.733781382,0.135381738,0.0002948,0.012926715,0.019195299,0.031039388,0.237800156,0.09757077,0.23232551,1.022147489,0.185513395,0.012480217,0.38798945,0.288522823,0.195304491,0.000244917,1.024093404,0.523381498,0.130908603,0.023848753,0.482004523,0.401150748,20.10987842,0.156767192,1267142
7,-0.6,-0.114511381,1.644322873,0.120009884,0.000274146,0.006014537,0.012809991,0.057123043,0.452066608,0.11558893,0.186245438,-0.384024484,0.041975541,0.010986317,0.307628626,0.504013096,0.451690115,0.000216114,1.101579858,0.76005426,0.102899173,0.023090008,1.67242928,-0.698957145,10.10157537,1.532717225,1267142
8,-0.6,-0.283724943,1.299224039,0.145112123,0.000128243,0.01345271,0.01170774,0.035020492,0.164851728,0.181359452,0.162065368,-0.740546855,0.074615829,0.012746001,0.399092963,0.579112506,0.307293279,0.00018078,1.667520372,0.709960747,0.154123091,0.014493041,1.704682793,0.264624777,19.43832033,1.041228783,1267142
9,-0.6,0.12238574,1.069925377,0.063911579,0.000180442,0.013073086,0.016232843,0.025843718,0.381830416,0.17539438,0.159444894,-0.411612073,0.07770305,0.012162371,0.383279296,0.548402955,0.422942843,0.000242329,0.715807622,0.648755878,0.205647455,0.008014863,-0.467086031,0.265617645,7.931683283,1.912481572,1267142
10,-0.6,-0.687711606,-0.095916703,0.105833662,0.000248287,0.007478974,0.012248351,0.050553823,0.27567753,0.237866764,0.169773423,1.83235827,0.005217752,0.008922466,0.29939289,0.50107347,0.29772575,0.000268085,1.565565257,0.470430006,0.209817029,0.029439594,1.814042375,-0.625761653,23.45649606,1.578662596,1267142
