All agesM,55+M,65+M,All agesI,55+I,65+I,,type,vxint
5.800350802,5.390957868,4.357721122,160.6230145,143.4214833,98.41972025,,-2,-1
8.573949482,7.967439396,6.431602504,237.7188776,212.2290976,145.3540905,,-2,-2
11.26669341,10.46792201,8.438476406,312.7608212,279.1828461,190.8368912,,-2,-3
13.0181931,12.0938748,9.740225558,361.6796756,322.8177545,220.3755801,,-2,-4
18.88475901,17.53693809,14.0781004,526.1978879,469.4968465,319.0374537,,-2,-5
24.36361468,22.61577436,18.09540232,680.8677458,607.2928956,410.7657552,,-2,-6
27.03809448,25.38402832,21.950585,713.8501518,644.3679898,494.1183027,,-3,-1
39.89316357,37.44829532,32.35725396,1054.164994,951.4551853,728.7605599,,-3,-2
52.32547528,49.11292406,42.40194605,1383.910455,1248.937722,955.5037089,,-3,-3
60.38586749,56.67400373,48.90336858,1598.04737,1442.086276,1102.411478,,-3,-4
87.22563598,81.84144707,70.48428423,2313.267835,2086.983136,1590.994955,,-3,-5
112.0565471,105.1105638,90.34605372,2978.34858,2686.33919,2042.131614,,-3,-6
