, pre - eld,,,,,,latent - eld,,,,,,both - eld,,,,,,pre - ado,,,,,,latent - ado,,,,,,both - ado,,,,,
,O_pre_c30_v40,O_pre_c30_v60,O_pre_c30_v80,O_pre_70_v40,O_pre_c70_v60,O_pre_c70_v80,O_L_c30_v40,O_L_c30_v60,O_L_c30_v80,O_L_70_v40,O_L_c70_v60,O_L_c70_v80,O_Mix_c30_v40,O_Mix_c30_v60,O_Mix_c30_v80,O_Mix_70_v40,O_Mix_c70_v60,O_Mix_c70_v80,Y_pre_c30_v40,Y_pre_c30_v60,Y_pre_c30_v80,Y_pre_70_v40,Y_pre_c70_v60,Y_pre_c70_v80,Y_L_c30_v40,Y_L_c30_v60,Y_L_c30_v80,Y_L_70_v40,Y_L_c70_v60,Y_L_c70_v80,Y_Mix_c30_v40,Y_Mix_c30_v60,Y_Mix_c30_v80,Y_Mix_70_v40,Y_Mix_c70_v60,Y_Mix_c70_v80
0-14,1.871125593,2.774891932,3.658545818,4.236853654,6.196289819,8.061638663,5.544457054,8.258278057,10.93454359,12.69835578,18.74799491,24.61442866,7.30767963,10.79571089,14.18007271,16.38109525,23.75769374,30.66530859,2.268280147,3.34411702,4.383901818,5.058021999,7.305613985,9.394731351,0.12328239,0.183364089,0.242432934,0.281259368,0.413762551,0.541186177,2.386795485,3.517064005,4.60834172,5.315252063,7.668726992,9.851403286
15-24,1.950491767,2.892998992,3.814786125,4.418185748,6.463426066,8.411565564,5.553637466,8.273507856,10.95673332,12.72566949,18.79609697,24.68738298,7.392171551,10.91999322,14.34252935,16.56811274,24.02517217,31.00491003,13.91184543,20.57875737,27.06620796,31.29596134,45.53901486,58.98122541,0.489707651,0.732384027,0.973650838,1.133727722,1.689304985,2.237879551,14.37326012,21.24912274,27.93239931,32.28587504,46.92288996,60.70550694
25-54,1.667331748,2.472787963,3.260379025,3.775843609,5.522440087,7.185175459,4.710014991,7.014421561,9.286232262,10.78307626,15.91435073,20.88580172,6.284448655,9.282641232,12.19058268,14.08107112,20.41214664,26.33248806,6.318504727,9.325083842,12.23694248,14.12796684,20.45108572,26.35356342,0.308185411,0.459648002,0.609402847,0.708307517,1.048761628,1.380657721,6.614809469,9.75874692,12.80142239,14.77624443,21.37304045,27.52215557
55-64,5.430204535,8.062472397,10.64197818,12.33319517,18.08082325,23.57611033,9.604417553,14.33860112,19.029229,22.13275918,32.85257401,43.36225933,14.7148924,21.69476823,28.43805596,32.80736323,47.35058258,60.81480727,1.312023013,1.933007901,2.532305975,2.920357803,4.211145912,5.406314277,0.075913912,0.112785753,0.148952571,0.172678899,0.253360335,0.330502039,1.385301235,2.040036246,2.671317985,3.07976498,4.436560787,5.6902391
65+,1.446991578,2.149130045,2.837708924,3.289465508,4.826757134,6.299882618,4.368666127,6.527189442,8.669142038,10.08813253,15.00012198,19.83151174,5.737236503,8.503273919,11.20505511,12.97196945,18.9527477,24.64072124,0.153649645,0.226215238,0.296135947,0.341347019,0.491329345,0.629558443,0.009651798,0.014318645,0.018882119,0.02186799,0.031972218,0.041556929,0.163009301,0.239896023,0.313917295,0.361745857,0.520211935,0.665972815
54-,1.713926523,2.541929915,3.351595559,3.881523538,5.677232461,7.386893126,4.854937439,7.230708223,9.573183419,11.11675963,16.40932138,21.53872231,6.472810883,9.561128331,12.55667913,14.50424096,21.02724025,27.12837814,7.315366515,10.80316234,14.18553489,16.38455034,23.75206562,30.65084619,0.329526799,0.49175853,0.652347044,0.758509588,1.124585379,1.482435214,7.63082597,11.26413308,14.78462026,17.07185507,24.72599755,31.88092348
55+,1.704252602,2.531086434,3.341850483,3.873708796,5.683170292,7.416404429,4.699914381,7.021780853,9.325615395,10.85173672,16.13389869,21.32840287,6.310293345,9.345658627,12.30597716,14.23948876,20.76911739,26.95657019,0.229309434,0.337695124,0.442192062,0.509795662,0.734288834,0.941550326,0.013980608,0.020751336,0.02737937,0.031720149,0.046434904,0.060432755,0.242844843,0.357474246,0.467893341,0.539275844,0.776010802,0.994134478
15-54,1.70975343,2.535742793,3.343439796,3.872079541,5.663423019,7.368924094,4.836392771,7.203044598,9.536498507,11.07411315,16.34612624,21.45544215,6.450395406,9.527940673,12.51298818,14.45368986,20.95350968,27.03264169,7.457121988,11.01255603,14.46055703,16.70225918,24.21290562,31.2458801,0.335373392,0.500498862,0.663961954,0.77203044,1.144713102,1.509074237,7.778151881,11.4816628,15.07021198,17.40168735,25.20400881,32.49764351
Overall,1.701191102,2.52618128,3.334908763,3.865307711,5.669070409,7.395782204,4.704518796,7.02653669,9.329120524,10.85364111,16.12548529,21.30258507,6.312207793,9.346354968,12.30406259,14.2350815,20.75145532,26.91903983,1.114039664,1.644357143,2.158105496,2.491819513,3.608118446,4.650795141,0.05342077,0.079621205,0.105490493,0.122555971,0.181177299,0.238138615,1.1653155,1.719285821,2.255481427,2.60353025,3.76637274,4.850576025
