, pre - eld,,,,,,latent - eld,,,,,,both - eld,,,,,,pre - ado,,,,,,latent - ado,,,,,,both - ado,,,,,
,O_pre_c30_v40,O_pre_c30_v60,O_pre_c30_v80,O_pre_70_v40,O_pre_c70_v60,O_pre_c70_v80,O_L_c30_v40,O_L_c30_v60,O_L_c30_v80,O_L_70_v40,O_L_c70_v60,O_L_c70_v80,O_Mix_c30_v40,O_Mix_c30_v60,O_Mix_c30_v80,O_Mix_70_v40,O_Mix_c70_v60,O_Mix_c70_v80,Y_pre_c30_v40,Y_pre_c30_v60,Y_pre_c30_v80,Y_pre_70_v40,Y_pre_c70_v60,Y_pre_c70_v80,Y_L_c30_v40,Y_L_c30_v60,Y_L_c30_v80,Y_L_70_v40,Y_L_c70_v60,Y_L_c70_v80,Y_Mix_c30_v40,Y_Mix_c30_v60,Y_Mix_c30_v80,Y_Mix_70_v40,Y_Mix_c70_v60,Y_Mix_c70_v80
0-14,1.441602523,2.142101789,2.829661961,3.281056974,4.818859436,6.294868066,5.183324635,7.728294369,10.24310473,11.90324365,17.61369671,23.17525321,6.548044822,9.700634182,12.77653038,14.78601494,21.5735326,28.00462275,1.871476548,2.76448289,3.630892974,4.194372772,6.083213413,7.853054533,0.108573649,0.161645504,0.213928112,0.248352374,0.366195426,0.480078304,1.976565886,2.918491199,3.831590293,4.425021115,6.411842508,8.270047536
15-24,1.546776192,2.298576574,3.036610669,3.521205976,5.172475612,6.757882986,5.184566438,7.730394181,10.24619965,11.90707089,17.62045753,23.18540374,6.649060065,9.847209223,12.96550516,15.00154989,21.87172409,28.3703156,13.40531442,19.87256167,26.1925161,30.32728993,44.3329844,57.66755471,0.560066051,0.838283521,1.11532607,1.299381368,1.939666091,2.574119005,13.94030821,20.65568755,27.21193256,31.4980174,45.99726687,59.77512902
25-54,1.365933333,2.029508482,2.680712699,3.10817254,4.563985655,5.960550888,4.428058295,6.599467115,8.743309731,10.15753394,15.01569088,19.73724114,5.723427182,8.47310216,11.15191755,12.89977446,18.78978401,24.34921262,5.934590035,8.775679352,11.53795202,13.33750703,19.38756247,25.0812828,0.307425873,0.458958254,0.609074484,0.708379092,1.0512068,1.386933799,6.232215389,9.213134228,12.10973551,13.99595286,20.33255517,26.28940189
55-64,5.795977019,8.622043071,11.40193865,13.23017798,19.4769701,25.49813159,9.14122201,13.65252361,18.12582427,21.08746747,31.32879381,41.38672333,14.62083432,21.57344768,28.29982522,32.66268163,47.20596554,60.69177457,1.187578215,1.75270612,2.299979497,2.655339805,3.843087642,4.950798279,0.072080013,0.107172313,0.141648749,0.164296787,0.241502146,0.315613873,1.257561909,1.855286739,2.433679172,2.809005113,4.062069875,5.228662633
65+,0.948890233,1.412295003,1.868643398,2.16906266,3.197471044,4.191884348,4.083080358,6.107868945,8.121872529,9.458688661,14.10195334,18.69243613,4.984957176,7.416055139,9.808319254,11.38231707,16.7664732,21.96890729,0.098235332,0.144774884,0.189699984,0.218789207,0.31549579,0.404863949,0.00670552,0.00994407,0.013108362,0.015177333,0.022169795,0.028788639,0.10478778,0.154384004,0.202229082,0.233192349,0.336029901,0.430918272
54-,1.394990207,2.072745011,2.737907647,3.17455414,4.661806221,6.088766873,4.567144799,6.807417537,9.019689126,10.47929748,15.49487662,20.37175501,5.889644909,8.720036163,11.47806846,13.27793688,19.34524142,25.0751419,6.858690234,10.14937668,13.35342949,15.4433266,22.4846816,29.13361235,0.336154531,0.502146054,0.666783596,0.775803219,1.152844681,1.523105575,7.183088843,10.62570758,13.97540727,16.15910059,23.50958566,30.44089927
55+,1.27373262,1.895500837,2.507605429,2.910448135,4.28873875,5.620255091,4.412655729,6.599863762,8.774771177,10.21803727,15.22892393,20.17973932,5.621373779,8.351350361,11.03026952,12.78881099,18.77959352,24.5314828,0.171908209,0.253519767,0.332418282,0.383572804,0.554064164,0.712299181,0.01112816,0.016521595,0.021804101,0.025265193,0.037007266,0.048191553,0.182751899,0.269418581,0.35314479,0.407397282,0.588023618,0.755388811
15-54,1.39326281,2.070171644,2.734499203,3.170594709,4.655951591,6.081063376,4.542443109,6.770471808,8.970567554,10.42209548,15.40961514,20.25875973,5.863372805,8.680862316,11.42613858,13.21758031,19.25584687,24.9573578,7.065373895,10.4553141,13.75606613,15.90906873,23.1632311,30.01338625,0.345638591,0.516333624,0.6856497,0.797774728,1.18560175,1.566523533,7.398897428,10.94504387,14.395541,16.64497995,24.21698155,31.35749151
Overall,1.285633381,1.912854353,2.530097622,2.936197883,4.324886508,5.665350329,4.416454017,6.603207411,8.776120583,10.21721316,15.21528562,20.1454252,5.636642444,8.371123148,11.05254506,12.81167442,18.79799804,24.5358838,1.058140657,1.565059963,2.058139172,2.379488112,3.460557095,4.478959585,0.054251033,0.08095005,0.107372063,0.124835556,0.185030837,0.24383691,1.110588367,1.642051687,2.158643896,2.495125661,3.626003977,4.68979522
