, pre - eld,,,,,,latent - eld,,,,,,both - eld,,,,,,pre - ado,,,,,,latent - ado,,,,,,both - ado,,,,,
,O_pre_c30_v40,O_pre_c30_v60,O_pre_c30_v80,O_pre_70_v40,O_pre_c70_v60,O_pre_c70_v80,O_L_c30_v40,O_L_c30_v60,O_L_c30_v80,O_L_70_v40,O_L_c70_v60,O_L_c70_v80,O_Mix_c30_v40,O_Mix_c30_v60,O_Mix_c30_v80,O_Mix_70_v40,O_Mix_c70_v60,O_Mix_c70_v80,Y_pre_c30_v40,Y_pre_c30_v60,Y_pre_c30_v80,Y_pre_70_v40,Y_pre_c70_v60,Y_pre_c70_v80,Y_L_c30_v40,Y_L_c30_v60,Y_L_c30_v80,Y_L_70_v40,Y_L_c70_v60,Y_L_c70_v80,Y_Mix_c30_v40,Y_Mix_c30_v60,Y_Mix_c30_v80,Y_Mix_70_v40,Y_Mix_c70_v60,Y_Mix_c70_v80
0-14 years,2.357046564,3.491055953,4.596875654,5.318948367,7.755457289,10.05975132,7.052104001,10.50572808,13.91265793,16.15858041,23.86485179,31.34162692,9.253373307,13.65326485,17.91086547,20.67331856,29.89094064,38.4597145,3.191863246,4.687065418,6.120781778,7.044339753,10.08990015,12.87463009,0.117080667,0.174062685,0.230032672,0.26679367,0.392070885,0.512273484,3.303251329,4.848736719,6.329491748,7.282726985,10.42258312,13.28856192
15-24 years,2.496948941,3.698725948,4.87091544,5.636478445,8.220620865,10.66577144,7.216184435,10.75429416,14.24725158,16.55135103,24.46615686,32.15855385,9.546987903,14.08640865,18.47886388,21.32868789,30.83675588,39.67329926,14.80700361,21.80497502,28.55501428,32.92480674,47.46252105,60.93992036,0.367711458,0.549612995,0.730248111,0.849981324,1.264824679,1.673356472,15.14753975,22.29528966,29.1829687,33.63827954,48.44020192,62.13474403
25-54 years,2.304870116,3.414485422,4.496954599,5.204010331,7.591163383,9.85058778,6.59228867,9.825938566,13.01922221,15.12612432,22.36635391,29.40713136,8.746705725,12.9082706,16.93667578,19.55110798,28.27818137,36.3944646,7.134620106,10.49131101,13.71919142,15.80344895,22.70539472,29.05712268,0.243686406,0.363343589,0.481581258,0.559631716,0.828059498,1.089371777,7.366320232,10.82853264,14.15576881,16.30307693,23.40763901,29.93751811
55-64 years,4.691511038,6.948548734,9.149310785,10.58622454,15.43370449,20.01568235,10.89254715,16.2550882,21.56382688,25.07382085,37.18168666,49.02721519,15.22983357,22.42163054,29.34877077,33.82587829,48.66087899,62.29866394,1.450886929,2.12988157,2.780446443,3.19921763,4.578144679,5.835611126,0.056210807,0.083468664,0.1101759,0.127680146,0.187101552,0.243759108,1.504690048,2.208110206,2.881607352,3.314889745,4.740157955,6.037859115
65+ years,1.398021463,2.073586192,2.734301398,3.166801912,4.632738937,6.028991179,4.467607748,6.674341593,8.863677329,10.31380244,15.33196095,20.26529882,5.77968216,8.558260462,11.26718986,13.03601966,19.00690798,24.66192755,0.234122203,0.343627547,0.448490231,0.515953026,0.737816059,0.939631721,0.009520498,0.014120746,0.01861702,0.021557768,0.031502136,0.040924189,0.243281861,0.356963153,0.465756844,0.535712384,0.765563625,0.974349077
54-,2.335730091,3.460135457,4.556992445,5.273425061,7.692117856,9.981235501,6.701450609,9.988263696,13.23380467,15.37505583,22.73255368,29.88625958,8.884189898,13.11068161,17.20165381,19.85654944,28.71793473,36.9581962,8.188520818,12.04574244,15.7580098,18.15671276,26.10994712,33.44384027,0.258761825,0.386012637,0.511880632,0.595038138,0.881465432,1.160966687,8.433168504,12.40098464,16.21685812,18.68102482,26.84297796,34.35802206
55+,1.850327252,2.743082318,3.615299642,4.18574168,6.116088015,7.949862457,5.348511935,7.987983795,10.60510138,12.33772784,18.32832614,24.20993476,7.076028542,10.46000732,13.74759291,15.88794995,23.07486847,29.82506996,0.401540874,0.589404162,0.769351847,0.885152344,1.266219637,1.613285605,0.01594511,0.023663044,0.031215537,0.036160212,0.052912554,0.068834102,0.416843542,0.611669171,0.798162497,0.918109523,1.31244256,1.671055755
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall,1.933025267,2.865264761,3.775782935,4.371122286,6.384786641,8.296298025,5.57798718,8.327441601,11.05144852,12.85364474,19.07736399,25.17652725,7.383213016,10.91061214,14.33513569,16.56329067,24.03647002,31.04216238,1.754260227,2.579549551,3.373118058,3.885495677,5.581971138,7.142760706,0.058136552,0.086623903,0.114734008,0.133268201,0.196875742,0.258591999,1.809414857,2.659674626,3.476655235,4.003834797,5.747541724,7.349353169
15-54,2.335197492,3.459364741,4.556000699,5.272294866,7.690554025,9.979307469,6.690804371,9.972534941,13.2131468,15.35119459,22.69797895,29.84170122,8.873073938,13.09431158,17.18021401,19.83182598,28.68227088,36.91235203,8.347209652,12.27938058,16.06390888,18.50937322,26.61806276,34.09589879,0.263278762,0.392769079,0.520864283,0.605499891,0.897059504,1.1816317,8.596100659,12.64078237,16.53071159,19.04277382,27.36380114,35.02593818
