, pre - eld,,,,,,latent - eld,,,,,,both - eld,,,,,,pre - ado,,,,,,latent - ado,,,,,,both - ado,,,,,
,O_pre_c30_v40,O_pre_c30_v60,O_pre_c30_v80,O_pre_70_v40,O_pre_c70_v60,O_pre_c70_v80,O_L_c30_v40,O_L_c30_v60,O_L_c30_v80,O_L_70_v40,O_L_c70_v60,O_L_c70_v80,O_Mix_c30_v40,O_Mix_c30_v60,O_Mix_c30_v80,O_Mix_70_v40,O_Mix_c70_v60,O_Mix_c70_v80,Y_pre_c30_v40,Y_pre_c30_v60,Y_pre_c30_v80,Y_pre_70_v40,Y_pre_c70_v60,Y_pre_c70_v80,Y_L_c30_v40,Y_L_c30_v60,Y_L_c30_v80,Y_L_70_v40,Y_L_c70_v60,Y_L_c70_v80,Y_Mix_c30_v40,Y_Mix_c30_v60,Y_Mix_c30_v80,Y_Mix_70_v40,Y_Mix_c70_v60,Y_Mix_c70_v80
0-14 years,2.260688831,3.347404012,4.406495268,5.097722,7.428132445,9.629105235,7.121130534,10.59662736,14.01725522,16.26786076,23.96336139,31.38889403,9.23899113,13.62930422,17.87567114,20.62969741,29.81179865,38.33555454,3.137278136,4.602125993,6.00361017,6.904695549,9.865935777,12.55858932,0.124736192,0.18511994,0.244214818,0.282907933,0.414020404,0.538667876,3.25648089,4.775211857,6.22713643,7.1600594,10.22250446,13.00235421
15-24 years,2.392876562,3.543972472,4.666346634,5.399167524,7.871549745,10.20914509,7.240796471,10.78170225,14.27130347,16.56981652,24.44461888,32.06653083,9.479854689,13.98646018,18.34646272,21.17480772,30.60831071,39.37060691,14.53169179,21.3934514,28.00882748,32.28990093,46.52541116,59.71649964,0.381617094,0.570079907,0.757021898,0.880820813,1.309042289,1.72967502,14.88565367,21.90319766,28.66179297,33.03188354,47.54260078,60.96017511
25-54 years,2.210845346,3.275028837,4.313070592,4.991049171,7.279694764,9.44541371,6.634942652,9.880457426,13.0794843,15.18688281,22.40849776,29.40032244,8.708874387,12.8534043,16.86583207,19.47013471,28.16449368,36.25135097,8.866038932,13.00973843,16.97709909,19.52959935,27.92870403,35.58319891,0.343865144,0.51099941,0.67501724,0.782661551,1.148987785,1.499684222,9.194102134,13.48636859,17.59302234,20.23357699,28.91349664,36.81148939
55-64 years,4.289408165,6.355319186,8.371261592,9.688358065,14.13691023,18.3498963,10.07794221,15.03781185,19.94683155,23.19193934,34.38232331,45.32454326,14.04907427,20.690417,27.09195295,31.23185548,44.96447517,57.61097655,1.567461899,2.298360826,2.996915337,3.445621752,4.917378022,6.251011203,0.065848454,0.09761056,0.128617666,0.148876924,0.217256586,0.281846463,1.630737984,2.390379138,3.115922975,3.581707944,5.10798578,6.488893787
65+ years,1.642270341,2.431173711,3.199713842,3.701154873,5.390918829,6.985906622,6.010719826,8.946471846,11.8373697,13.74027871,20.25222087,26.54408066,7.551823133,11.15508361,14.65012732,16.92243223,24.53305651,31.65158133,0.26160216,0.383616935,0.500228619,0.575122298,0.820643636,1.042805573,0.011338059,0.016792987,0.02210879,0.025576702,0.037248443,0.048221392,0.272547343,0.399555864,0.520869872,0.598745883,0.853824345,1.084319726
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overall,1.91179761,2.830850944,3.726601494,4.311264085,6.282740355,8.145382467,6.397843271,9.526671109,12.61031903,14.64154651,21.60145392,28.33947904,8.18758572,12.08869333,15.8689813,18.32471069,26.53720794,34.19969346,1.239062675,1.818593646,2.373691066,2.730933859,3.906945026,4.979149294,0.047463276,0.07049822,0.093080626,0.107888556,0.15820167,0.20624445,1.284378891,1.884420531,2.458737457,2.828122754,4.04280522,5.148446173
<55years,2.220166934,3.288741942,4.331007128,5.011711901,7.309370588,9.48334642,6.674202951,9.938744211,13.1564135,15.27603346,22.53917992,29.57071878,8.75625602,12.92277733,16.95615386,19.573874,28.31200823,36.43818695,9.242406533,13.56999579,17.71860693,20.3905467,29.19949674,37.25211171,0.33791916,0.502489839,0.664210278,0.770468387,1.132835292,1.480911634,9.563670946,14.03624031,18.32046065,21.07795402,30.15875794,38.44571443
55+ years,1.880762605,2.784727604,3.665668392,4.240609832,6.17899446,8.009944302,6.375105876,9.49237862,12.56437087,14.58778014,21.52009362,28.23029815,8.135181322,12.01136764,15.76761031,18.20780189,26.36905203,33.98519016,0.379745853,0.556847601,0.726108831,0.834822104,1.191283364,1.514002212,0.016269872,0.024104927,0.031745133,0.036732227,0.053534554,0.06935841,0.395425685,0.57966984,0.75564983,0.868620809,1.238707423,1.573283023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-54 years,2.219785832,3.288192738,4.330303732,5.010913069,7.308280838,9.48202657,6.66881099,9.930789967,13.1459828,15.26399827,22.52181089,29.54843224,8.750518517,12.91434898,16.94514493,19.56120307,28.29386299,36.4150528,9.323167205,13.68855487,17.87339527,20.56866703,29.45454083,37.57749816,0.34075136,0.506705727,0.669788811,0.776943868,1.142379718,1.493419594,9.647109265,14.15867914,18.48024958,21.26178028,30.4217401,38.78095225
