Age Targeted,Mechanism,eff,cov,All ages,0-14,15-54,55-64,65+,55+,<55,15-24,25-54,,Age Targeting,Vaccine mechanism,Vaccine Efficacy (%),Coverage (%),All Ages,,<55years,,>=55 years,,,,
Baseline,,,,32.5021219,1.049899743,11.98093986,29.55028228,91.20802853,70.86986896,9.085491001,8.194868403,13.1190558,,,,,,"Incidence Rate (/100,000)",Incidence Rate Reduction (%),"Incidence Rate (/100,000)",Incidence Rate Reduction (%),"Incidence Rate (/100,000)",Incidence Rate Reduction (%),,,
Elderly,Pre-infection,40,30,31.87384767,1.025153117,11.70116125,28.16392753,89.93292072,69.55854446,8.873278454,7.990246724,12.8166786,,Baseline,-,-,-,33.00,-,9,-,71,-,,,
,Pre-infection,60,30,31.57085005,1.013247155,11.56647545,27.49696652,89.31675144,68.92585012,8.771120705,7.891762679,12.67110755,,Adolescent/ Young Adult,Pre-infection,40,30,32.00,2,8,8,71,<1,1.933025267,2.335730091,1.850327252
,Pre-infection,80,30,31.27491233,1.001637157,11.43508816,26.84663512,88.71412613,68.30771084,8.671465862,7.795703293,12.52909782,,,,,70,31.00,4,7,18,70,1,,,
,Pre-infection,40,70,31.0814144,0.994056118,11.34926938,26.42202305,88.31965094,67.90343932,8.606374442,7.732966412,12.43633878,,,,60,30,32.00,3,8,12,70,1,,,
,Pre-infection,60,70,30.42693076,0.968475217,11.05953921,24.98957904,86.98259868,66.5354054,8.386624325,7.521199341,12.12316684,,,,,70,31.00,6,7,26,70,1,,,
,Pre-infection,80,70,29.805649,0.94428244,10.78532503,23.63559165,85.70910454,65.23581186,8.178646748,7.32082247,11.82675169,,,,80,30,31.00,3,8,16,70,1,,4.556992445,3.615299642
,Post-infection,40,30,30.68915771,0.975859721,11.17931861,26.33150385,87.13321158,67.07938556,8.476631309,7.603511585,12.25420977,,,,,70,30.00,7,6,33,70,2,,,
,Post-infection,60,30,29.79552668,0.939600131,10.78613645,24.74685783,85.12049315,65.20879531,8.178008202,7.313568149,11.82998544,,,Post-infection,40,30,32.00,<1,9,<1,71,<1,5.57798718,,
,Post-infection,80,30,28.91016663,0.903830783,10.39788069,23.17811057,83.12364318,63.35404751,7.883134868,7.027324885,11.41105677,,,,,70,32.00,<1,9,1,71,<1,,,
,Post-infection,40,70,28.32441461,0.880250849,10.14172247,22.14089744,81.80101266,62.12613741,7.688591687,6.838506967,11.13465111,,,,60,30,32.00,<1,9,<1,71,<1,,,
,Post-infection,60,70,26.3015738,0.799342725,9.261508652,18.56298892,77.22404921,57.88060824,7.020126882,6.189899045,10.18480135,,,,,70,32.00,<1,9,1,71,<1,,,
,Post-infection,80,70,24.31921632,0.720844082,8.405623583,15.0626018,72.724449,53.71231992,6.370177576,5.559517235,9.261117828,,,,80,30,32.00,<1,9,1,71,<1,,,
,Multi-stage,40,30,30.102421,0.9527486,10.91786221,25.04982347,85.93649438,65.85509681,8.278318727,7.412505308,11.9715706,,,,,70,32.00,<1,9,1,71,<1,,,
,Multi-stage,60,30,28.95594144,0.90655415,10.41211826,22.92462717,83.40220789,63.45687548,7.894321203,7.040505752,11.42561258,,,Multi-stage,40,30,32.00,2,8,8,71,<1,,,
,Multi-stage,80,30,27.84289862,0.861853612,9.922588751,20.87763767,80.93144679,61.12696788,7.522636292,6.680549826,10.89712385,,,,,70,31.00,4,7,19,70,1,,,
,Multi-stage,40,70,27.11870097,0.832850624,9.604900715,19.55463976,79.318132,59.61009965,7.281425989,6.447010499,10.55413504,,,,60,30,32.00,3,8,12,70,1,,,
