Y_pre_c30_v40,Y_pre_c30_v60,Y_pre_c30_v80,Y_pre_70_v40,Y_pre_c70_v60,Y_pre_c70_v80,Y_L_c30_v40,Y_L_c30_v60,Y_L_c30_v80,Y_L_70_v40,Y_L_c70_v60,Y_L_c70_v80,Y_Mix_c30_v40,Y_Mix_c30_v60,Y_Mix_c30_v80,Y_Mix_70_v40,Y_Mix_c70_v60,Y_Mix_c70_v80
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,c30_v40,c30_v60,c30_v80,c70_v40,c70_v60,c70_v80,,,,,,,,,,
,O_pre,23579.36193,15960.98459,12152.97993,24550.25356,16942.261,13144.43833,,,,,,,,,,
,O_L,6343.839025,4281.947976,3251.377318,6556.389884,4497.789116,3470.444398,,,,,,,,,,
,O_mix,5046.277157,3423.7987,2612.962629,5286.523653,3667.613722,2860.320029,,,,,,,,,,
,Y_pre,25397.00387,17303.99147,13259.65702,26897.27381,18823.50282,14798.3064,,,,,,,,,,
,Y_L,569950.6702,385066.7301,292679.3829,590592.2064,406197.2658,314302.3288,,,,,,,,,,
,Y_Mix,24342.713,16589.2348,12714.65119,25795.32739,18060.9596,14205.40112,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Age Targeted,Vaccine mechanism,Vaccine Efficacy (%),Coverage (%),Individuals Vaccinated (1000s),Deaths (1000s),Deaths averted averted (1000s),NNV per death averted,,,,,,,,,
,,Baseline,,,0,,,-,,,,,,,,,
,Elderly,Pre-infection,40,30,187166,,,23579.36193,,,,,,,,,
,,,,70,436721,,,24550.25356,,,,,,,,,
,,,60,30,187166,,,15960.98459,,,,,,,,,
,,,,70,436723,,,16942.261,,,,,,,,,
,,,80,30,187166,,,12152.97993,,,,,,,,,
,,,,70,436725,,,13144.43833,,,,,,,,,
,,Post-infection,40,30,187167,,,6343.839025,,,,,,,,,
,,,,70,436729,,,6556.389884,,,,,,,,,
,,,60,30,187168,,,4281.947976,,,,,,,,,
,,,,70,436734,,,4497.789116,,,,,,,,,
,,,80,30,187169,,,3251.377318,,,,,,,,,
,,,,70,436739,,,3470.444398,,,,,,,,,
,,Multi-stage,40,30,187168,,,5046.277157,,,,,,,,,
,,,,70,436732,,,5286.523653,,,,,,,,,
,,,60,30,187169,,,3423.7987,,,,,,,,,
,,,,70,436739,,,3667.613722,,,,,,,,,
,,,80,30,187170,,,2612.962629,,,,,,,,,
,,,,70,436745,,,2860.320029,,,,,,,,,
,Adolescent/ Young Adult,Pre-infection,40,30,162432,,,25397.00387,,,,,,,,,
,,,,70,379009,,,26897.27381,,,,,,,,,
,,,60,30,162432,,,17303.99147,,,,,,,,,
,,,,70,379009,,,18823.50282,,,,,,,,,
,,,80,30,162432,,,13259.65702,,,,,,,,,
,,,,70,379010,,,14798.3064,,,,,,,,,
,,Post-infection,40,30,162432,,,569950.6702,,,,,,,,,
,,,,70,379007,,,590592.2064,,,,,,,,,
,,,60,30,162432,,,385066.7301,,,,,,,,,
,,,,70,379007,,,406197.2658,,,,,,,,,
,,,80,30,162432,,,292679.3829,,,,,,,,,
,,,,70,379007,,,314302.3288,,,,,,,,,
,,Multi-stage,40,30,162432,,,24342.713,,,,,,,,,
,,,,70,379009,,,25795.32739,,,,,,,,,
,,,60,30,162432,,,16589.2348,,,,,,,,,
,,,,70,379010,,,18060.9596,,,,,,,,,
,,,80,30,162432,,,12714.65119,,,,,,,,,
,,,,70,379010,,,14205.40112,,,,,,,,,
