O_pre_c30_v40,O_pre_c30_v60,O_pre_c30_v80,O_pre_70_v40,O_pre_c70_v60,O_pre_c70_v80,O_L_c30_v40,O_L_c30_v60,O_L_c30_v80,O_L_70_v40,O_L_c70_v60,O_L_c70_v80,O_Mix_c30_v40,O_Mix_c30_v60,O_Mix_c30_v80,O_Mix_70_v40,O_Mix_c70_v60,O_Mix_c70_v80,Y_pre_c30_v40,Y_pre_c30_v60,Y_pre_c30_v80,Y_pre_70_v40,Y_pre_c70_v60,Y_pre_c70_v80,Y_L_c30_v40,Y_L_c30_v60,Y_L_c30_v80,Y_L_70_v40,Y_L_c70_v60,Y_L_c70_v80,Y_Mix_c30_v40,Y_Mix_c30_v60,Y_Mix_c30_v80,Y_Mix_70_v40,Y_Mix_c70_v60,Y_Mix_c70_v80
1.015367427,1.52305114,2.030734854,2.369190663,3.553785994,4.738381326,1.965283124,2.947924686,3.930566248,4.585660623,6.878490935,9.171321246,2.980650551,4.470975827,5.961301102,6.954851286,10.43227693,13.90970257,1.124259638,1.686389457,2.248519276,2.623272488,3.934908732,5.246544977,0.096385486,0.144578229,0.192770972,0.224899468,0.337349202,0.449798935,1.220645124,1.830967686,2.441290248,2.848171956,4.272257934,5.696343912
3.103848348,4.628013569,6.133699896,7.12723475,10.54008841,13.8527764,6.573593425,9.807358477,13.00577664,15.11842105,22.38900641,29.46727089,9.673374602,14.42628408,19.12343241,22.22391981,32.8809905,43.2359527,3.461169092,5.159165818,6.835487629,7.941012493,11.73478021,15.41135944,0.294571917,0.439443233,0.582704818,0.677318259,1.002831427,1.31958102,3.755176965,5.597345059,7.415954426,8.615292789,12.73084099,16.7190188
5.150874871,7.618309128,10.01529112,11.57470804,16.79499844,21.65650942,12.19079549,18.06392469,23.79146247,27.52989386,40.11989291,51.95934696,17.32241043,25.63977455,33.73280145,39.00531491,56.70201721,73.255392,5.79605232,8.56558347,11.25149718,12.99640054,18.82259536,24.2259703,0.488378312,0.723311292,0.952180343,1.101430432,1.603205184,2.073709979,6.281853937,9.283183458,12.19367539,14.08435271,20.396522,26.24943375
6.548313071,9.653127246,12.64863439,14.58621852,21.00552488,26.88591074,17.43078578,25.7519242,33.8166152,39.05296467,56.51972072,72.69392452,23.93430151,35.30706809,46.29592393,53.41303219,77.04910029,98.78794993,7.397002095,10.88719629,14.243503,16.40845909,23.54511568,30.02954968,0.613621835,0.906084441,1.189212638,1.372864567,1.984323546,2.548734516,8.005620648,11.78227068,15.41357176,17.75564896,25.47457798,32.48564672
7.242722378,10.6823007,14.0049379,16.15659691,23.30191742,29.87601289,21.63946093,31.96195543,41.96140818,48.4513599,70.08453311,90.09571621,28.80991701,42.48637911,55.69383373,64.24426453,92.62265518,118.704426,8.173402748,12.02529703,15.72702154,18.11368926,25.97657193,33.11777747,0.664384447,0.981250599,1.288149028,1.487302783,2.150909212,2.764320499,8.831176976,12.99204553,16.9900305,19.56734244,28.05606851,35.76230997
7.849431828,11.58309444,15.19413946,17.535092,25.32572485,32.52130505,25.58162247,37.77977413,49.59319942,57.25890716,82.80246845,106.4192286,33.32771634,49.1371145,64.39766072,74.27392886,107.03582,137.1275246,8.913731367,13.10776698,17.13431941,19.72839488,28.26377762,36.00232617,0.706320893,1.043390702,1.369998235,1.582022237,2.289031592,2.94339915,9.611934496,14.13337817,18.47354707,21.26927601,30.46582174,38.80033113
8.39219547,12.389945,16.26061044,18.77229977,27.14696605,34.90782981,29.2629857,43.21362871,56.72255954,65.48760984,94.68983271,121.6839889,37.51726329,55.3022067,72.46284514,83.56535276,120.376913,154.166887,9.599715309,14.11075419,18.43827515,21.22453,30.38304408,38.67489977,0.740900126,1.094688313,1.437644466,1.660366212,2.403587697,3.092333478,10.3310353,15.18448668,19.83969682,22.83650463,32.68459427,41.59712428
8.883015221,13.12008014,17.22632308,19.89310032,28.79919773,37.0756872,32.67030612,48.24343756,63.32242973,73.105681,105.6978184,135.8234566,41.37778757,60.97986439,79.88618751,92.11419504,132.6364173,169.806156,10.12177025,14.87923849,19.44450046,22.38477262,32.05711928,40.8289422,0.768855849,1.13629613,1.492693092,1.724260167,2.497734876,3.215678544,10.87962436,15.99149019,20.89566755,24.05358746,34.43816439,43.85043306
9.332878003,13.78937986,18.11167788,20.92071033,30.31433308,39.06383951,35.80105199,52.8652039,69.38721793,80.10639364,115.8152861,148.8214172,44.91830733,66.18322371,86.68469861,99.93991993,143.8416128,184.079305,10.5294639,15.48254443,20.23884758,23.30424935,33.4031173,42.58843917,0.791759287,1.170487356,1.53806639,1.777030761,2.576046594,3.319013187,11.3088676,16.62604103,21.73032037,25.01908663,35.84839875,45.69003729
9.747166103,14.40571574,18.92691331,21.8668823,31.70905571,40.89339217,38.65092532,57.07289355,74.90940999,86.48138248,125.0316819,160.6662287,48.14058071,70.91560302,92.86367447,107.0493605,154.0059679,197.0081481,10.87638371,15.99632226,20.91588627,24.08839872,34.55352901,44.09579424,0.811011495,1.199292036,1.576376341,1.821652028,2.64260309,3.407277996,11.67373853,17.16578889,22.44078783,25.8413521,37.0517575,47.26312472
