"","","","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count"
7593.02554674922,0,0,7593.02554674922,2,1,7593.02554674922,2,2,7593.02554674922,2,3,7593.02554674922,2,4,7593.02554674922,2,5,7593.02554674922,2,6,7593.02554674922,3,1,7593.02554674922,3,2,7593.02554674922,3,3,7593.02554674922,3,4,7593.02554674922,3,5,7593.02554674922,3,6,7593.02554674922,4,1,7593.02554674922,4,2,7593.02554674922,4,3,7593.02554674922,4,4,7593.02554674922,4,5,7593.02554674922,4,6,7593.02554674922,5,1,7593.02554674922,5,2,7593.02554674922,5,3,7593.02554674922,5,4,7593.02554674922,5,5,7593.02554674922,5,6,7593.02554674922,6,1,7593.02554674922,6,2,7593.02554674922,6,3,7593.02554674922,6,4,7593.02554674922,6,5,7593.02554674922,6,6,7593.02554674922,7,1,7593.02554674922,7,2,7593.02554674922,7,3,7593.02554674922,7,4,7593.02554674922,7,5,7593.02554674922,7,6
12473.5535064837,0,0,12473.5535064837,2,1,12473.5535064837,2,2,12473.5535064837,2,3,12473.5535064837,2,4,12473.5535064837,2,5,12473.5535064837,2,6,12473.5535064837,3,1,12473.5535064837,3,2,12473.5535064837,3,3,12473.5535064837,3,4,12473.5535064837,3,5,12473.5535064837,3,6,12473.5535064837,4,1,12473.5535064837,4,2,12473.5535064837,4,3,12473.5535064837,4,4,12473.5535064837,4,5,12473.5535064837,4,6,12473.5535064837,5,1,12473.5535064837,5,2,12473.5535064837,5,3,12473.5535064837,5,4,12473.5535064837,5,5,12473.5535064837,5,6,12473.5535064837,6,1,12473.5535064837,6,2,12473.5535064837,6,3,12473.5535064837,6,4,12473.5535064837,6,5,12473.5535064837,6,6,12473.5535064837,7,1,12473.5535064837,7,2,12473.5535064837,7,3,12473.5535064837,7,4,12473.5535064837,7,5,12473.5535064837,7,6
9838.53981852629,0,0,9838.53981852629,2,1,9838.53981852629,2,2,9838.53981852629,2,3,9838.53981852629,2,4,9838.53981852629,2,5,9838.53981852629,2,6,9838.53981852629,3,1,9838.53981852629,3,2,9838.53981852629,3,3,9838.53981852629,3,4,9838.53981852629,3,5,9838.53981852629,3,6,9838.53981852629,4,1,9838.53981852629,4,2,9838.53981852629,4,3,9838.53981852629,4,4,9838.53981852629,4,5,9838.53981852629,4,6,9838.53981852629,5,1,9838.53981852629,5,2,9838.53981852629,5,3,9838.53981852629,5,4,9838.53981852629,5,5,9838.53981852629,5,6,9838.53981852629,6,1,9838.53981852629,6,2,9838.53981852629,6,3,9838.53981852629,6,4,9838.53981852629,6,5,9838.53981852629,6,6,9838.53981852629,7,1,9838.53981852629,7,2,9838.53981852629,7,3,9838.53981852629,7,4,9838.53981852629,7,5,9838.53981852629,7,6
7901.24728070257,0,0,7901.24728070257,2,1,7901.24728070257,2,2,7901.24728070257,2,3,7901.24728070257,2,4,7901.24728070257,2,5,7901.24728070257,2,6,7901.24728070257,3,1,7901.24728070257,3,2,7901.24728070257,3,3,7901.24728070257,3,4,7901.24728070257,3,5,7901.24728070257,3,6,7901.24728070257,4,1,7901.24728070257,4,2,7901.24728070257,4,3,7901.24728070257,4,4,7901.24728070257,4,5,7901.24728070257,4,6,7901.24728070257,5,1,7901.24728070257,5,2,7901.24728070257,5,3,7901.24728070257,5,4,7901.24728070257,5,5,7901.24728070257,5,6,7901.24728070257,6,1,7901.24728070257,6,2,7901.24728070257,6,3,7901.24728070257,6,4,7901.24728070257,6,5,7901.24728070257,6,6,7901.24728070257,7,1,7901.24728070257,7,2,7901.24728070257,7,3,7901.24728070257,7,4,7901.24728070257,7,5,7901.24728070257,7,6
6459.65827134623,0,0,6459.65827134623,2,1,6459.65827134623,2,2,6459.65827134623,2,3,6459.65827134623,2,4,6459.65827134623,2,5,6459.65827134623,2,6,6459.65827134623,3,1,6459.65827134623,3,2,6459.65827134623,3,3,6459.65827134623,3,4,6459.65827134623,3,5,6459.65827134623,3,6,6459.65827134623,4,1,6459.65827134623,4,2,6459.65827134623,4,3,6459.65827134623,4,4,6459.65827134623,4,5,6459.65827134623,4,6,6459.65827134623,5,1,6459.65827134623,5,2,6459.65827134623,5,3,6459.65827134623,5,4,6459.65827134623,5,5,6459.65827134623,5,6,6459.65827134623,6,1,6459.65827134623,6,2,6459.65827134623,6,3,6459.65827134623,6,4,6459.65827134623,6,5,6459.65827134623,6,6,6459.65827134623,7,1,6459.65827134623,7,2,6459.65827134623,7,3,6459.65827134623,7,4,6459.65827134623,7,5,6459.65827134623,7,6
5380.91519387985,0,0,5380.91519387985,2,1,5380.91519387985,2,2,5380.91519387985,2,3,5380.91519387985,2,4,5380.91519387985,2,5,5380.91519387985,2,6,5380.91519387985,3,1,5380.91519387985,3,2,5380.91519387985,3,3,5380.91519387985,3,4,5380.91519387985,3,5,5380.91519387985,3,6,5380.91519387985,4,1,5380.91519387985,4,2,5380.91519387985,4,3,5380.91519387985,4,4,5380.91519387985,4,5,5380.91519387985,4,6,5380.91519387985,5,1,5380.91519387985,5,2,5380.91519387985,5,3,5380.91519387985,5,4,5380.91519387985,5,5,5380.91519387985,5,6,5380.91519387985,6,1,5380.91519387985,6,2,5380.91519387985,6,3,5380.91519387985,6,4,5380.91519387985,6,5,5380.91519387985,6,6,5380.91519387985,7,1,5380.91519387985,7,2,5380.91519387985,7,3,5380.91519387985,7,4,5380.91519387985,7,5,5380.91519387985,7,6
4569.79607545239,0,0,4569.79607545239,2,1,4569.79607545239,2,2,4569.79607545239,2,3,4569.79607545239,2,4,4569.79607545239,2,5,4569.79607545239,2,6,4569.79607545239,3,1,4569.79607545239,3,2,4569.79607545239,3,3,4569.79607545239,3,4,4569.79607545239,3,5,4569.79607545239,3,6,4569.79607545239,4,1,4569.79607545239,4,2,4569.79607545239,4,3,4569.79607545239,4,4,4569.79607545239,4,5,4569.79607545239,4,6,4569.79607545239,5,1,4569.79607545239,5,2,4569.79607545239,5,3,4569.79607545239,5,4,4569.79607545239,5,5,4569.79607545239,5,6,4569.79607545239,6,1,4569.79607545239,6,2,4569.79607545239,6,3,4569.79607545239,6,4,4569.79607545239,6,5,4569.79607545239,6,6,4569.79607545239,7,1,4569.79607545239,7,2,4569.79607545239,7,3,4569.79607545239,7,4,4569.79607545239,7,5,4569.79607545239,7,6
3964.1193257179,0,0,3964.1193257179,2,1,3964.1193257179,2,2,3964.1193257179,2,3,3964.1193257179,2,4,3964.1193257179,2,5,3964.1193257179,2,6,3964.1193257179,3,1,3964.1193257179,3,2,3964.1193257179,3,3,3964.1193257179,3,4,3964.1193257179,3,5,3964.1193257179,3,6,3964.1193257179,4,1,3964.1193257179,4,2,3964.1193257179,4,3,3964.1193257179,4,4,3964.1193257179,4,5,3964.1193257179,4,6,3964.1193257179,5,1,3964.1193257179,5,2,3964.1193257179,5,3,3964.1193257179,5,4,3964.1193257179,5,5,3964.1193257179,5,6,3964.1193257179,6,1,3964.1193257179,6,2,3964.1193257179,6,3,3964.1193257179,6,4,3964.1193257179,6,5,3964.1193257179,6,6,3964.1193257179,7,1,3964.1193257179,7,2,3964.1193257179,7,3,3964.1193257179,7,4,3964.1193257179,7,5,3964.1193257179,7,6
3513.04713701919,0,0,3513.04713701919,2,1,3513.04713701919,2,2,3513.04713701919,2,3,3513.04713701919,2,4,3513.04713701919,2,5,3513.04713701919,2,6,3513.04713701919,3,1,3513.04713701919,3,2,3513.04713701919,3,3,3513.04713701919,3,4,3513.04713701919,3,5,3513.04713701919,3,6,3513.04713701919,4,1,3513.04713701919,4,2,3513.04713701919,4,3,3513.04713701919,4,4,3513.04713701919,4,5,3513.04713701919,4,6,3513.04713701919,5,1,3513.04713701919,5,2,3513.04713701919,5,3,3513.04713701919,5,4,3513.04713701919,5,5,3513.04713701919,5,6,3513.04713701919,6,1,3513.04713701919,6,2,3513.04713701919,6,3,3513.04713701919,6,4,3513.04713701919,6,5,3513.04713701919,6,6,3513.04713701919,7,1,3513.04713701919,7,2,3513.04713701919,7,3,3513.04713701919,7,4,3513.04713701919,7,5,3513.04713701919,7,6
3173.31288568023,0,0,3173.31288568023,2,1,3173.31288568023,2,2,3173.31288568023,2,3,3173.31288568023,2,4,3173.31288568023,2,5,3173.31288568023,2,6,3173.31288568023,3,1,3173.31288568023,3,2,3173.31288568023,3,3,3173.31288568023,3,4,3173.31288568023,3,5,3173.31288568023,3,6,3173.31288568023,4,1,3173.31288568023,4,2,3173.31288568023,4,3,3173.31288568023,4,4,3173.31288568023,4,5,3173.31288568023,4,6,3173.31288568023,5,1,3173.31288568023,5,2,3173.31288568023,5,3,3173.31288568023,5,4,3173.31288568023,5,5,3173.31288568023,5,6,3173.31288568023,6,1,3173.31288568023,6,2,3173.31288568023,6,3,3173.31288568023,6,4,3173.31288568023,6,5,3173.31288568023,6,6,3173.31288568023,7,1,3173.31288568023,7,2,3173.31288568023,7,3,3173.31288568023,7,4,3173.31288568023,7,5,3173.31288568023,7,6
