"","","","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count"
2577.49327015946,0,0,2577.49327015946,2,1,2577.49327015946,2,2,2577.49327015946,2,3,2577.49327015946,2,4,2577.49327015946,2,5,2577.49327015946,2,6,2577.49327015946,3,1,2577.49327015946,3,2,2577.49327015946,3,3,2577.49327015946,3,4,2577.49327015946,3,5,2577.49327015946,3,6,2577.49327015946,4,1,2577.49327015946,4,2,2577.49327015946,4,3,2577.49327015946,4,4,2577.49327015946,4,5,2577.49327015946,4,6,2577.49327015946,5,1,2577.49327015946,5,2,2577.49327015946,5,3,2577.49327015946,5,4,2577.49327015946,5,5,2577.49327015946,5,6,2577.49327015946,6,1,2577.49327015946,6,2,2577.49327015946,6,3,2577.49327015946,6,4,2577.49327015946,6,5,2577.49327015946,6,6,2577.49327015946,7,1,2577.49327015946,7,2,2577.49327015946,7,3,2577.49327015946,7,4,2577.49327015946,7,5,2577.49327015946,7,6
4131.00715085017,0,0,4131.00715085017,2,1,4131.00715085017,2,2,4131.00715085017,2,3,4131.00715085017,2,4,4131.00715085017,2,5,4131.00715085017,2,6,4131.00715085017,3,1,4131.00715085017,3,2,4131.00715085017,3,3,4131.00715085017,3,4,4131.00715085017,3,5,4131.00715085017,3,6,4131.00715085017,4,1,4131.00715085017,4,2,4131.00715085017,4,3,4131.00715085017,4,4,4131.00715085017,4,5,4131.00715085017,4,6,4131.00715085017,5,1,4131.00715085017,5,2,4131.00715085017,5,3,4131.00715085017,5,4,4131.00715085017,5,5,4131.00715085017,5,6,4131.00715085017,6,1,4131.00715085017,6,2,4131.00715085017,6,3,4131.00715085017,6,4,4131.00715085017,6,5,4131.00715085017,6,6,4131.00715085017,7,1,4131.00715085017,7,2,4131.00715085017,7,3,4131.00715085017,7,4,4131.00715085017,7,5,4131.00715085017,7,6
3080.81939036584,0,0,3080.81939036584,2,1,3080.81939036584,2,2,3080.81939036584,2,3,3080.81939036584,2,4,3080.81939036584,2,5,3080.81939036584,2,6,3080.81939036584,3,1,3080.81939036584,3,2,3080.81939036584,3,3,3080.81939036584,3,4,3080.81939036584,3,5,3080.81939036584,3,6,3080.81939036584,4,1,3080.81939036584,4,2,3080.81939036584,4,3,3080.81939036584,4,4,3080.81939036584,4,5,3080.81939036584,4,6,3080.81939036584,5,1,3080.81939036584,5,2,3080.81939036584,5,3,3080.81939036584,5,4,3080.81939036584,5,5,3080.81939036584,5,6,3080.81939036584,6,1,3080.81939036584,6,2,3080.81939036584,6,3,3080.81939036584,6,4,3080.81939036584,6,5,3080.81939036584,6,6,3080.81939036584,7,1,3080.81939036584,7,2,3080.81939036584,7,3,3080.81939036584,7,4,3080.81939036584,7,5,3080.81939036584,7,6
2317.9048694707,0,0,2317.9048694707,2,1,2317.9048694707,2,2,2317.9048694707,2,3,2317.9048694707,2,4,2317.9048694707,2,5,2317.9048694707,2,6,2317.9048694707,3,1,2317.9048694707,3,2,2317.9048694707,3,3,2317.9048694707,3,4,2317.9048694707,3,5,2317.9048694707,3,6,2317.9048694707,4,1,2317.9048694707,4,2,2317.9048694707,4,3,2317.9048694707,4,4,2317.9048694707,4,5,2317.9048694707,4,6,2317.9048694707,5,1,2317.9048694707,5,2,2317.9048694707,5,3,2317.9048694707,5,4,2317.9048694707,5,5,2317.9048694707,5,6,2317.9048694707,6,1,2317.9048694707,6,2,2317.9048694707,6,3,2317.9048694707,6,4,2317.9048694707,6,5,2317.9048694707,6,6,2317.9048694707,7,1,2317.9048694707,7,2,2317.9048694707,7,3,2317.9048694707,7,4,2317.9048694707,7,5,2317.9048694707,7,6
1762.55270775928,0,0,1762.55270775928,2,1,1762.55270775928,2,2,1762.55270775928,2,3,1762.55270775928,2,4,1762.55270775928,2,5,1762.55270775928,2,6,1762.55270775928,3,1,1762.55270775928,3,2,1762.55270775928,3,3,1762.55270775928,3,4,1762.55270775928,3,5,1762.55270775928,3,6,1762.55270775928,4,1,1762.55270775928,4,2,1762.55270775928,4,3,1762.55270775928,4,4,1762.55270775928,4,5,1762.55270775928,4,6,1762.55270775928,5,1,1762.55270775928,5,2,1762.55270775928,5,3,1762.55270775928,5,4,1762.55270775928,5,5,1762.55270775928,5,6,1762.55270775928,6,1,1762.55270775928,6,2,1762.55270775928,6,3,1762.55270775928,6,4,1762.55270775928,6,5,1762.55270775928,6,6,1762.55270775928,7,1,1762.55270775928,7,2,1762.55270775928,7,3,1762.55270775928,7,4,1762.55270775928,7,5,1762.55270775928,7,6
1357.18599995007,0,0,1357.18599995007,2,1,1357.18599995007,2,2,1357.18599995007,2,3,1357.18599995007,2,4,1357.18599995007,2,5,1357.18599995007,2,6,1357.18599995007,3,1,1357.18599995007,3,2,1357.18599995007,3,3,1357.18599995007,3,4,1357.18599995007,3,5,1357.18599995007,3,6,1357.18599995007,4,1,1357.18599995007,4,2,1357.18599995007,4,3,1357.18599995007,4,4,1357.18599995007,4,5,1357.18599995007,4,6,1357.18599995007,5,1,1357.18599995007,5,2,1357.18599995007,5,3,1357.18599995007,5,4,1357.18599995007,5,5,1357.18599995007,5,6,1357.18599995007,6,1,1357.18599995007,6,2,1357.18599995007,6,3,1357.18599995007,6,4,1357.18599995007,6,5,1357.18599995007,6,6,1357.18599995007,7,1,1357.18599995007,7,2,1357.18599995007,7,3,1357.18599995007,7,4,1357.18599995007,7,5,1357.18599995007,7,6
1060.48735750607,0,0,1060.48735750607,2,1,1060.48735750607,2,2,1060.48735750607,2,3,1060.48735750607,2,4,1060.48735750607,2,5,1060.48735750607,2,6,1060.48735750607,3,1,1060.48735750607,3,2,1060.48735750607,3,3,1060.48735750607,3,4,1060.48735750607,3,5,1060.48735750607,3,6,1060.48735750607,4,1,1060.48735750607,4,2,1060.48735750607,4,3,1060.48735750607,4,4,1060.48735750607,4,5,1060.48735750607,4,6,1060.48735750607,5,1,1060.48735750607,5,2,1060.48735750607,5,3,1060.48735750607,5,4,1060.48735750607,5,5,1060.48735750607,5,6,1060.48735750607,6,1,1060.48735750607,6,2,1060.48735750607,6,3,1060.48735750607,6,4,1060.48735750607,6,5,1060.48735750607,6,6,1060.48735750607,7,1,1060.48735750607,7,2,1060.48735750607,7,3,1060.48735750607,7,4,1060.48735750607,7,5,1060.48735750607,7,6
842.675791995077,0,0,842.675791995077,2,1,842.675791995077,2,2,842.675791995077,2,3,842.675791995077,2,4,842.675791995077,2,5,842.675791995077,2,6,842.675791995077,3,1,842.675791995077,3,2,842.675791995077,3,3,842.675791995077,3,4,842.675791995077,3,5,842.675791995077,3,6,842.675791995077,4,1,842.675791995077,4,2,842.675791995077,4,3,842.675791995077,4,4,842.675791995077,4,5,842.675791995077,4,6,842.675791995077,5,1,842.675791995077,5,2,842.675791995077,5,3,842.675791995077,5,4,842.675791995077,5,5,842.675791995077,5,6,842.675791995077,6,1,842.675791995077,6,2,842.675791995077,6,3,842.675791995077,6,4,842.675791995077,6,5,842.675791995077,6,6,842.675791995077,7,1,842.675791995077,7,2,842.675791995077,7,3,842.675791995077,7,4,842.675791995077,7,5,842.675791995077,7,6
682.524091821951,0,0,682.524091821951,2,1,682.524091821951,2,2,682.524091821951,2,3,682.524091821951,2,4,682.524091821951,2,5,682.524091821951,2,6,682.524091821951,3,1,682.524091821951,3,2,682.524091821951,3,3,682.524091821951,3,4,682.524091821951,3,5,682.524091821951,3,6,682.524091821951,4,1,682.524091821951,4,2,682.524091821951,4,3,682.524091821951,4,4,682.524091821951,4,5,682.524091821951,4,6,682.524091821951,5,1,682.524091821951,5,2,682.524091821951,5,3,682.524091821951,5,4,682.524091821951,5,5,682.524091821951,5,6,682.524091821951,6,1,682.524091821951,6,2,682.524091821951,6,3,682.524091821951,6,4,682.524091821951,6,5,682.524091821951,6,6,682.524091821951,7,1,682.524091821951,7,2,682.524091821951,7,3,682.524091821951,7,4,682.524091821951,7,5,682.524091821951,7,6
564.612955230889,0,0,564.612955230889,2,1,564.612955230889,2,2,564.612955230889,2,3,564.612955230889,2,4,564.612955230889,2,5,564.612955230889,2,6,564.612955230889,3,1,564.612955230889,3,2,564.612955230889,3,3,564.612955230889,3,4,564.612955230889,3,5,564.612955230889,3,6,564.612955230889,4,1,564.612955230889,4,2,564.612955230889,4,3,564.612955230889,4,4,564.612955230889,4,5,564.612955230889,4,6,564.612955230889,5,1,564.612955230889,5,2,564.612955230889,5,3,564.612955230889,5,4,564.612955230889,5,5,564.612955230889,5,6,564.612955230889,6,1,564.612955230889,6,2,564.612955230889,6,3,564.612955230889,6,4,564.612955230889,6,5,564.612955230889,6,6,564.612955230889,7,1,564.612955230889,7,2,564.612955230889,7,3,564.612955230889,7,4,564.612955230889,7,5,564.612955230889,7,6
