V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,10,20,30,40,50,60,70,80,,,,,,,
O_pre,496.3398221,502.50544,508.6956884,514.9099316,521.1474973,527.4076752,533.6897157,539.9928292,,,,,,,
O-l,113.3673258,114.7340947,116.1139966,117.5069062,118.912681,120.3311603,121.762164,123.2054924,,,,,,,
O-mix,92.63279168,94.09920964,95.5780145,97.06912115,98.57243237,100.0878382,101.6152151,103.1544258,,,,,,,
y_pre,411.2179207,418.7503912,426.329957,433.9563005,441.6290656,449.347854,457.1122221,464.9216779,,,,,,,
y_L,4147.129337,4198.011003,4249.504002,4301.607785,4354.321214,4407.64253,4461.569318,4516.098471,,,,,,,
Y-mixed,374.4608095,381.4534322,388.4929721,395.5791749,402.7117498,409.8903661,417.1146503,424.384183,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,O_pre,O-l,O-mix,y_pre,Y-mixed,,,,,,,,,,
10,496.3398221,113.3673258,92.63279168,411.2179207,374.4608095,,,,,,,,,,
20,502.50544,114.7340947,94.09920964,418.7503912,381.4534322,,,,,,,,,,
30,508.6956884,116.1139966,95.5780145,426.329957,388.4929721,,,,,,,,,,
40,514.9099316,117.5069062,97.06912115,433.9563005,395.5791749,,,,,,,,,,
50,521.1474973,118.912681,98.57243237,441.6290656,402.7117498,,,,,,,,,,
60,527.4076752,120.3311603,100.0878382,449.347854,409.8903661,,,,,,,,,,
70,533.6897157,121.762164,101.6152151,457.1122221,417.1146503,,,,,,,,,,
80,539.9928292,123.2054924,103.1544258,464.9216779,424.384183,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,30% coverage,,,70% coverage,,,,,,,,,,
population,infected baseline (assume steady burden),vaccines delivered,disease w/ vacccine,averted vs baseline,vaccines delivered,disease w/ vacccine,averted vs baseline,,,,,,,,
1000,100,300,100,,700,100,,,,,,,,,
1000,100,300,42,58,700,18,82,,,,,,,,
1000,100,300,17.64,82.36,700,3.24,96.76,,,,,,,,
1000,100,300,7.4088,92.5912,700,0.5832,99.4168,,,,,,,,
1000,100,300,3.111696,96.888304,700,0.104976,99.895024,,,,,,,,
1000,100,300,1.30691232,98.69308768,700,0.01889568,99.98110432,,,,,,,,
1000,100,300,0.548903174,99.45109683,700,0.003401222,99.99659878,,,,,,,,
1000,100,300,0.230539333,99.76946067,700,0.00061222,99.99938778,,,,,,,,
Totals,800,2400,172.2468508,627.7531492,5600,121.9510851,678.0489149,,,,,averted compared previous yrs burden,,,
,,,NNV (30% cov),3.823158837,,NNV (70% cov),8.258991169,,,,,,,30%,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,58,
,,,,,,compounding,,,,,,,,24.36,40
,,,,,,,,,,,,,,10.2312,14.76
,,,,,,,,,,,,,,4.297104,2.6568
,,,,,,,,,,,,,,1.80478368,0.478224
,,,,,,,,,,,,,,0.758009146,0.08608032
,,,,,,,,,,,,,,0.318363841,0.015494458
,,,,,,,,,,,,,,,0.002789002
