"","","","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count"
7934.25764998215,0,0,7934.25764998215,2,1,7934.25764998215,2,2,7934.25764998215,2,3,7934.25764998215,2,4,7934.25764998215,2,5,7934.25764998215,2,6,7934.25764998215,2,7,7934.25764998215,2,8,7934.25764998215,3,1,7934.25764998215,3,2,7934.25764998215,3,3,7934.25764998215,3,4,7934.25764998215,3,5,7934.25764998215,3,6,7934.25764998215,3,7,7934.25764998215,3,8,7934.25764998215,4,1,7934.25764998215,4,2,7934.25764998215,4,3,7934.25764998215,4,4,7934.25764998215,4,5,7934.25764998215,4,6,7934.25764998215,4,7,7934.25764998215,4,8,7934.25764998215,5,1,7934.25764998215,5,2,7934.25764998215,5,3,7934.25764998215,5,4,7934.25764998215,5,5,7934.25764998215,5,6,7934.25764998215,5,7,7934.25764998215,5,8,7934.25764998215,6,1,7934.25764998215,6,2,7934.25764998215,6,3,7934.25764998215,6,4,7934.25764998215,6,5,7934.25764998215,6,6,7934.25764998215,6,7,7934.25764998215,6,8,7934.25764998215,7,1,7934.25764998215,7,2,7934.25764998215,7,3,7934.25764998215,7,4,7934.25764998215,7,5,7934.25764998215,7,6,7934.25764998215,7,7,7934.25764998215,7,8
13232.1974724844,0,0,13232.1974724844,2,1,13232.1974724844,2,2,13232.1974724844,2,3,13232.1974724844,2,4,13232.1974724844,2,5,13232.1974724844,2,6,13232.1974724844,2,7,13232.1974724844,2,8,13232.1974724844,3,1,13232.1974724844,3,2,13232.1974724844,3,3,13232.1974724844,3,4,13232.1974724844,3,5,13232.1974724844,3,6,13232.1974724844,3,7,13232.1974724844,3,8,13232.1974724844,4,1,13232.1974724844,4,2,13232.1974724844,4,3,13232.1974724844,4,4,13232.1974724844,4,5,13232.1974724844,4,6,13232.1974724844,4,7,13232.1974724844,4,8,13232.1974724844,5,1,13232.1974724844,5,2,13232.1974724844,5,3,13232.1974724844,5,4,13232.1974724844,5,5,13232.1974724844,5,6,13232.1974724844,5,7,13232.1974724844,5,8,13232.1974724844,6,1,13232.1974724844,6,2,13232.1974724844,6,3,13232.1974724844,6,4,13232.1974724844,6,5,13232.1974724844,6,6,13232.1974724844,6,7,13232.1974724844,6,8,13232.1974724844,7,1,13232.1974724844,7,2,13232.1974724844,7,3,13232.1974724844,7,4,13232.1974724844,7,5,13232.1974724844,7,6,13232.1974724844,7,7,13232.1974724844,7,8
10609.9680867243,0,0,10609.9680867243,2,1,10609.9680867243,2,2,10609.9680867243,2,3,10609.9680867243,2,4,10609.9680867243,2,5,10609.9680867243,2,6,10609.9680867243,2,7,10609.9680867243,2,8,10609.9680867243,3,1,10609.9680867243,3,2,10609.9680867243,3,3,10609.9680867243,3,4,10609.9680867243,3,5,10609.9680867243,3,6,10609.9680867243,3,7,10609.9680867243,3,8,10609.9680867243,4,1,10609.9680867243,4,2,10609.9680867243,4,3,10609.9680867243,4,4,10609.9680867243,4,5,10609.9680867243,4,6,10609.9680867243,4,7,10609.9680867243,4,8,10609.9680867243,5,1,10609.9680867243,5,2,10609.9680867243,5,3,10609.9680867243,5,4,10609.9680867243,5,5,10609.9680867243,5,6,10609.9680867243,5,7,10609.9680867243,5,8,10609.9680867243,6,1,10609.9680867243,6,2,10609.9680867243,6,3,10609.9680867243,6,4,10609.9680867243,6,5,10609.9680867243,6,6,10609.9680867243,6,7,10609.9680867243,6,8,10609.9680867243,7,1,10609.9680867243,7,2,10609.9680867243,7,3,10609.9680867243,7,4,10609.9680867243,7,5,10609.9680867243,7,6,10609.9680867243,7,7,10609.9680867243,7,8
8623.82534826734,0,0,8623.82534826734,2,1,8623.82534826734,2,2,8623.82534826734,2,3,8623.82534826734,2,4,8623.82534826734,2,5,8623.82534826734,2,6,8623.82534826734,2,7,8623.82534826734,2,8,8623.82534826734,3,1,8623.82534826734,3,2,8623.82534826734,3,3,8623.82534826734,3,4,8623.82534826734,3,5,8623.82534826734,3,6,8623.82534826734,3,7,8623.82534826734,3,8,8623.82534826734,4,1,8623.82534826734,4,2,8623.82534826734,4,3,8623.82534826734,4,4,8623.82534826734,4,5,8623.82534826734,4,6,8623.82534826734,4,7,8623.82534826734,4,8,8623.82534826734,5,1,8623.82534826734,5,2,8623.82534826734,5,3,8623.82534826734,5,4,8623.82534826734,5,5,8623.82534826734,5,6,8623.82534826734,5,7,8623.82534826734,5,8,8623.82534826734,6,1,8623.82534826734,6,2,8623.82534826734,6,3,8623.82534826734,6,4,8623.82534826734,6,5,8623.82534826734,6,6,8623.82534826734,6,7,8623.82534826734,6,8,8623.82534826734,7,1,8623.82534826734,7,2,8623.82534826734,7,3,8623.82534826734,7,4,8623.82534826734,7,5,8623.82534826734,7,6,8623.82534826734,7,7,8623.82534826734,7,8
7099.80385622944,0,0,7099.80385622944,2,1,7099.80385622944,2,2,7099.80385622944,2,3,7099.80385622944,2,4,7099.80385622944,2,5,7099.80385622944,2,6,7099.80385622944,2,7,7099.80385622944,2,8,7099.80385622944,3,1,7099.80385622944,3,2,7099.80385622944,3,3,7099.80385622944,3,4,7099.80385622944,3,5,7099.80385622944,3,6,7099.80385622944,3,7,7099.80385622944,3,8,7099.80385622944,4,1,7099.80385622944,4,2,7099.80385622944,4,3,7099.80385622944,4,4,7099.80385622944,4,5,7099.80385622944,4,6,7099.80385622944,4,7,7099.80385622944,4,8,7099.80385622944,5,1,7099.80385622944,5,2,7099.80385622944,5,3,7099.80385622944,5,4,7099.80385622944,5,5,7099.80385622944,5,6,7099.80385622944,5,7,7099.80385622944,5,8,7099.80385622944,6,1,7099.80385622944,6,2,7099.80385622944,6,3,7099.80385622944,6,4,7099.80385622944,6,5,7099.80385622944,6,6,7099.80385622944,6,7,7099.80385622944,6,8,7099.80385622944,7,1,7099.80385622944,7,2,7099.80385622944,7,3,7099.80385622944,7,4,7099.80385622944,7,5,7099.80385622944,7,6,7099.80385622944,7,7,7099.80385622944,7,8
5923.29421251595,0,0,5923.29421251595,2,1,5923.29421251595,2,2,5923.29421251595,2,3,5923.29421251595,2,4,5923.29421251595,2,5,5923.29421251595,2,6,5923.29421251595,2,7,5923.29421251595,2,8,5923.29421251595,3,1,5923.29421251595,3,2,5923.29421251595,3,3,5923.29421251595,3,4,5923.29421251595,3,5,5923.29421251595,3,6,5923.29421251595,3,7,5923.29421251595,3,8,5923.29421251595,4,1,5923.29421251595,4,2,5923.29421251595,4,3,5923.29421251595,4,4,5923.29421251595,4,5,5923.29421251595,4,6,5923.29421251595,4,7,5923.29421251595,4,8,5923.29421251595,5,1,5923.29421251595,5,2,5923.29421251595,5,3,5923.29421251595,5,4,5923.29421251595,5,5,5923.29421251595,5,6,5923.29421251595,5,7,5923.29421251595,5,8,5923.29421251595,6,1,5923.29421251595,6,2,5923.29421251595,6,3,5923.29421251595,6,4,5923.29421251595,6,5,5923.29421251595,6,6,5923.29421251595,6,7,5923.29421251595,6,8,5923.29421251595,7,1,5923.29421251595,7,2,5923.29421251595,7,3,5923.29421251595,7,4,5923.29421251595,7,5,5923.29421251595,7,6,5923.29421251595,7,7,5923.29421251595,7,8
5010.0967193906,0,0,5010.0967193906,2,1,5010.0967193906,2,2,5010.0967193906,2,3,5010.0967193906,2,4,5010.0967193906,2,5,5010.0967193906,2,6,5010.0967193906,2,7,5010.0967193906,2,8,5010.0967193906,3,1,5010.0967193906,3,2,5010.0967193906,3,3,5010.0967193906,3,4,5010.0967193906,3,5,5010.0967193906,3,6,5010.0967193906,3,7,5010.0967193906,3,8,5010.0967193906,4,1,5010.0967193906,4,2,5010.0967193906,4,3,5010.0967193906,4,4,5010.0967193906,4,5,5010.0967193906,4,6,5010.0967193906,4,7,5010.0967193906,4,8,5010.0967193906,5,1,5010.0967193906,5,2,5010.0967193906,5,3,5010.0967193906,5,4,5010.0967193906,5,5,5010.0967193906,5,6,5010.0967193906,5,7,5010.0967193906,5,8,5010.0967193906,6,1,5010.0967193906,6,2,5010.0967193906,6,3,5010.0967193906,6,4,5010.0967193906,6,5,5010.0967193906,6,6,5010.0967193906,6,7,5010.0967193906,6,8,5010.0967193906,7,1,5010.0967193906,7,2,5010.0967193906,7,3,5010.0967193906,7,4,5010.0967193906,7,5,5010.0967193906,7,6,5010.0967193906,7,7,5010.0967193906,7,8
4301.96435362485,0,0,4301.96435362485,2,1,4301.96435362485,2,2,4301.96435362485,2,3,4301.96435362485,2,4,4301.96435362485,2,5,4301.96435362485,2,6,4301.96435362485,2,7,4301.96435362485,2,8,4301.96435362485,3,1,4301.96435362485,3,2,4301.96435362485,3,3,4301.96435362485,3,4,4301.96435362485,3,5,4301.96435362485,3,6,4301.96435362485,3,7,4301.96435362485,3,8,4301.96435362485,4,1,4301.96435362485,4,2,4301.96435362485,4,3,4301.96435362485,4,4,4301.96435362485,4,5,4301.96435362485,4,6,4301.96435362485,4,7,4301.96435362485,4,8,4301.96435362485,5,1,4301.96435362485,5,2,4301.96435362485,5,3,4301.96435362485,5,4,4301.96435362485,5,5,4301.96435362485,5,6,4301.96435362485,5,7,4301.96435362485,5,8,4301.96435362485,6,1,4301.96435362485,6,2,4301.96435362485,6,3,4301.96435362485,6,4,4301.96435362485,6,5,4301.96435362485,6,6,4301.96435362485,6,7,4301.96435362485,6,8,4301.96435362485,7,1,4301.96435362485,7,2,4301.96435362485,7,3,4301.96435362485,7,4,4301.96435362485,7,5,4301.96435362485,7,6,4301.96435362485,7,7,4301.96435362485,7,8
3754.86039341294,0,0,3754.86039341294,2,1,3754.86039341294,2,2,3754.86039341294,2,3,3754.86039341294,2,4,3754.86039341294,2,5,3754.86039341294,2,6,3754.86039341294,2,7,3754.86039341294,2,8,3754.86039341294,3,1,3754.86039341294,3,2,3754.86039341294,3,3,3754.86039341294,3,4,3754.86039341294,3,5,3754.86039341294,3,6,3754.86039341294,3,7,3754.86039341294,3,8,3754.86039341294,4,1,3754.86039341294,4,2,3754.86039341294,4,3,3754.86039341294,4,4,3754.86039341294,4,5,3754.86039341294,4,6,3754.86039341294,4,7,3754.86039341294,4,8,3754.86039341294,5,1,3754.86039341294,5,2,3754.86039341294,5,3,3754.86039341294,5,4,3754.86039341294,5,5,3754.86039341294,5,6,3754.86039341294,5,7,3754.86039341294,5,8,3754.86039341294,6,1,3754.86039341294,6,2,3754.86039341294,6,3,3754.86039341294,6,4,3754.86039341294,6,5,3754.86039341294,6,6,3754.86039341294,6,7,3754.86039341294,6,8,3754.86039341294,7,1,3754.86039341294,7,2,3754.86039341294,7,3,3754.86039341294,7,4,3754.86039341294,7,5,3754.86039341294,7,6,3754.86039341294,7,7,3754.86039341294,7,8
3330.57980037596,0,0,3330.57980037596,2,1,3330.57980037596,2,2,3330.57980037596,2,3,3330.57980037596,2,4,3330.57980037596,2,5,3330.57980037596,2,6,3330.57980037596,2,7,3330.57980037596,2,8,3330.57980037596,3,1,3330.57980037596,3,2,3330.57980037596,3,3,3330.57980037596,3,4,3330.57980037596,3,5,3330.57980037596,3,6,3330.57980037596,3,7,3330.57980037596,3,8,3330.57980037596,4,1,3330.57980037596,4,2,3330.57980037596,4,3,3330.57980037596,4,4,3330.57980037596,4,5,3330.57980037596,4,6,3330.57980037596,4,7,3330.57980037596,4,8,3330.57980037596,5,1,3330.57980037596,5,2,3330.57980037596,5,3,3330.57980037596,5,4,3330.57980037596,5,5,3330.57980037596,5,6,3330.57980037596,5,7,3330.57980037596,5,8,3330.57980037596,6,1,3330.57980037596,6,2,3330.57980037596,6,3,3330.57980037596,6,4,3330.57980037596,6,5,3330.57980037596,6,6,3330.57980037596,6,7,3330.57980037596,6,8,3330.57980037596,7,1,3330.57980037596,7,2,3330.57980037596,7,3,3330.57980037596,7,4,3330.57980037596,7,5,3330.57980037596,7,6,3330.57980037596,7,7,3330.57980037596,7,8
