"PSIZE","S","Births","I","NI","L","R","new_I","new_NI","new_I_react","new_NI_react","Sv","Lv","Rv","TBItot","TBI0-14","TBI15-54","TBI55-64","TBI65+","TBMtot","TBM0-14","TBM15-54","TBM55-64","TBM65+","TBM15-59","TBM60+","TBPtot","TBP0-14","TBP15-29","TBP30-44","TBP45-59","TBP60+","TBPbtot","TBPb0-14","TBPb15-29","TBPb30-44","TBPb45-59","TBP60+","TBPItot","TBPI0-14","TBPI15-54","TBPI55-64","TBPI65+","YearPsizetot","YearPsize0-14","YearPsize15-54","YearPsize55-64","YearPsize65+","YearPsize15-59","YearPsize15-29","YearPsize30-44","YearPsize45-59","YearPsize60+","type","vxint"
1417141.632,127542.74688,4921.94644041939,28342.83264,28342.83264,1133713.3056,99199.91424,0,0,0,0,0,0,0,1574.42959699323,415.86909262941,1960.63566028874,2024.20652527954,5436.17909620727,512.487105574092,489.031136799266,490.279207813886,492.569230082821,1001.10546327632,490.40243436255,797.08110892899,8025.90171443989,7234.94043744988,8292.60283220554,8370.9391450875,8335.89143789254,9442.65145737474,4000.8783673138,3431.73246722548,4235.84064762259,4287.46609018031,4264.35067520417,9442.65145737474,81.6648180511575,82.1947684060213,81.4450670057002,81.48722767876,80.3808402075134,1405550.93801321,494534.734501494,754648.691927591,94477.2098553766,61890.3017287502,807587.803547748,350733.148675441,270046.057287561,186808.597584746,103428.39996397,0,0
1393960.24402642,79080.6938300703,2705.97426706263,27891.5507805468,28230.9207707816,1161967.92668965,96789.1519553717,10333.2547950742,11796.1551738218,169.207708789317,301.593317199827,0,0,0,2630.0207483551,687.036062426078,3305.63550437695,3511.10468352367,8491.70034092078,1027.85098882112,644.351874748989,1093.11013822829,1101.42525075171,3162.96354764837,1093.94662986564,2326.02452687992,7533.3792621462,4558.27534047945,8450.24681222954,9021.53632094956,8888.89493867967,12239.1958096729,3674.99856921045,1658.0850184367,4440.63870397287,4821.99198206592,4737.76416397689,12239.1958096729,84.6535567308738,83.7806355729017,85.3657200971177,85.4396407194774,81.7383952572149,1390280.12745482,488032.901785159,747167.309346067,93479.9003513992,61600.0159721975,798742.750002646,348836.96504932,265255.737491493,184650.047461833,103504.475667018,0,0
1401120.92911744,80176.3780612308,29589,26534.264054353,27439.8558877097,1172295.94021868,94674.4908954732,9170.16501115315,10341.1642047901,167.379492108652,295.636512115614,0,0,0,2010.11751938978,555.867585025566,2527.80406290602,2692.47038281771,6174.64602682025,919.359908072453,372.450433878419,1059.53491887154,1080.57955753891,3285.04164062167,1061.28164840182,2384.09917065689,6531.5579218922,3046.95299352866,7512.44399474552,8407.40990285381,8273.74879915756,11694.9120298085,3082.18871496577,820.8291773156,3895.9608132554,4470.0361067858,4387.20590377804,11694.9120298085,85.8344177528871,84.1277144578058,87.0582157923522,87.0101803710951,82.7410329813281,1378388.71150223,483425.840532993,740929.812330335,92477.3743137835,61555.6843251152,791112.202401284,347810.075277605,260743.841779964,182558.285343716,103850.66856795,0,0
1379439.3257922,53795.8389118757,19260.502728865,24558.510737629,26202.4441277296,1181547.21260739,93335.3194075776,7962.45322053794,9090.87337583845,170.306804141578,287.216512516804,0,0,0,1535.24614179242,445.227184469878,1922.00969500146,2051.82341808696,4611.36708960295,767.359823362227,230.396004695912,920.187620683651,949.037455393193,2836.79630082184,922.213986648293,2068.68829961234,5422.62603999858,2143.97312435142,6262.52139168772,7273.19173009045,7150.29542912832,10142.1793058801,2471.41307977712,423.587419797424,3172.95363127625,3791.75727305869,3717.99101735584,10142.1793058801,86.2634556538289,83.567322026914,88.0377311595759,87.8500149604464,83.7298096551825,1370197.49232955,480084.309640466,736238.513133097,91729.7570261892,62144.9125297978,785487.923584066,347399.41866171,257079.191249769,181009.313672587,104625.259105018,0,0
1388223.63262002,67099.3952112244,29280,22376.4594507065,24631.904933872,1181891.57942627,92224.2935979527,6944.56739049248,7861.68470888821,169.27572133487,283.012703710844,0,0,0,1180.87902585135,357.101505630268,1467.88666705601,1571.04503058275,3510.34719782025,619.771007847057,152.410524645278,757.167803024221,788.827729683438,2311.16719954281,759.096782966809,1701.49137534021,4395.23286321249,1568.80843115347,5041.18898959549,6046.34858242501,5940.69998091312,8438.60484922292,1939.37953246372,231.990230896095,2492.77673758201,3078.58521982881,3016.97078307569,8438.60484922292,86.3010030935057,82.3603963610016,88.7439650713928,88.4297084519045,84.6811529940541,1365264.40886837,477681.251359588,732928.39522753,91329.9240081556,63324.8382730927,781909.663778413,347347.707379021,254429.506835886,180132.449563506,105673.493730365,0,0
1368553.79038443,49559.3771033469,21363.0220692708,20108.0818635773,22913.8108324358,1184372.27035265,91600.2502324204,6009.606789272,6891.37408654462,172.868679391133,276.974396915508,0,0,0,917.856664000094,288.210582715442,1130.98610775816,1214.37081323196,2714.89270204934,492.825320429208,106.717637501103,606.093196706266,637.40636267639,1843.16278346616,607.867164899761,1371.37090464028,3517.56915368062,1181.84721831868,3987.57303435937,4916.53034199163,4827.50951148729,6873.16040667832,1509.32805389837,136.794301221015,1930.03536729017,2446.38208933737,2396.02694873278,6873.16040667832,86.0746562424602,80.6490504341328,89.3044755927606,88.8736181934036,85.5407892864983,1362977.33686201,475810.378117761,730958.864380817,91240.449196699,64967.6451667321,780222.205142025,347695.390612298,252697.535009623,179829.279520104,106944.753602223,0,0
1379102.31578764,67029.1262599497,29049,17951.8045912511,21109.8040476595,1181977.69384417,91033.8870446125,5245.66827365366,5972.70886892874,172.414735277468,274.38008558766,0,0,0,722.496935816917,234.327139663502,881.854189918553,950.269298473144,2129.52027325204,389.710012627113,78.3099066381434,478.961677921335,507.980667587174,1459.22077669514,480.536327780189,1098.38910651325,2801.19294392602,911.848575087663,3129.2158136622,3953.4050697193,3879.36313061801,5545.80225541542,1174.89772548417,87.6521926274145,1489.3777244012,1928.07622545897,1887.42173439647,5545.80225541542,85.6435192264618,78.5125612311404,89.7664042708227,89.2241728311146,86.2920994445944,1362744.94739705,474153.889378792,730175.860877589,91401.3169070049,67013.8802336617,780241.428083535,348480.426270464,251765.262611711,179995.739201359,108349.629934721,0,0
1361292.66887146,53352.2147743271,22979.2718413786,15911.4354529596,19327.6419265997,1181981.71848699,90719.6582305863,4559.30563806551,5258.22135527797,176.214405407045,270.053720523663,0,0,0,579.390052293481,194.055739195428,699.797338849443,756.744955322532,1702.95695026012,308.397541064101,59.5557721811526,377.020969842879,403.259841934726,1156.41944000309,378.491484432548,879.488466839273,2232.8920580127,717.087769391601,2452.88104116553,3169.20266339949,3109.9841182743,4465.95933068316,920.904000978526,60.8041325438767,1154.73374117507,1521.54174091978,1489.23477076285,4465.95933068316,85.045121173346,76.0014087817916,90.1534575447917,89.5111718064958,86.9279925167533,1364049.18011445,472423.81072526,730638.434916906,91747.5976287604,69239.3368435246,781722.03561869,349799.864355062,251490.086079494,180432.085184134,109903.333770501,0,0
1373402.25965638,72535.7210618708,28895,14073.197737677,17586.5522387172,1178840.21370604,90366.5749120717,3993.26120896803,4578.29962059164,175.852863725507,268.363360779944,0,0,0,475.367097211224,164.375115744462,567.973098304931,616.311847232368,1391.2790179159,245.969349801552,46.7137624056744,298.111357006892,321.437824332396,925.734062857054,299.528339003255,708.641313662262,1793.16737282376,575.76801849112,1935.48757626227,2550.41863253039,2502.6684799633,3613.81281687691,732.086985978712,45.3198201929267,907.083413609721,1212.42870353847,1186.54609218754,3613.81281687691,84.3101153873979,73.1505582705025,90.4838987208173,89.7419374241255,87.4540845272087,1366478.87129173,470278.339048878,732503.532022157,92279.3467606301,71417.6534600646,784480.799824484,351733.149359076,251744.828865354,181002.821600054,111719.732418367,0,0
1357126.55808036,61015.9038395134,24222.3914948185,12404.4607719279,15942.3392200041,1177633.545758,90130.3084909086,3494.1033321489,4056.45689003139,179.481157565921,265.020711587901,0,0,0,397.501210301278,141.087388832133,470.143641482925,512.011621092901,1156.77560367264,198.514939012032,37.639627146178,238.045055186182,258.647562155059,750.342514967334,239.394371709488,575.919817613627,1455.40434495503,470.801857853288,1542.71055588128,2069.45227092308,2030.62740296431,2947.19646027126,591.972412429371,35.6736625553511,724.163329325573,979.809572927453,958.813230537376,2947.19646027126,83.4602992693173,69.9640853528809,90.7710696506565,89.9305105005264,87.8956363960133,1369725.88078287,467370.449193292,736014.836782087,92939.1529997368,73401.4418077508,788543.566536982,354563.940464901,252408.893524531,181570.73254755,113811.865052592,0,0
