"V1","V2","V3","V4","V5"
182372.143087269,139705.644821166,42666.4982661031,2,1
181783.559238937,139705.810621369,42077.7486175676,2,2
181202.228488199,139705.972244433,41496.256243766,2,3
421910.309830015,325980.848036959,95929.4617930562,2,4
418837.430700707,325981.677464635,92855.7532360722,2,5
415856.698668263,325982.459494734,89874.2391735293,2,6
181510.337014627,139706.679536204,41803.6574784239,3,1
180498.700301913,139707.339136442,40791.3611654708,3,2
179499.550786977,139707.979505896,39791.5712810809,3,3
417294.240380754,325986.257391054,91307.9829897003,3,4
412013.072891914,325989.512308699,86023.5605832146,3,5
406890.567629667,325992.551235304,80898.0163943627,3,6
