"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
19753.3469574154,19538.6148134302,19356.4099707634,5515.01411190693,5552.57258443725,5589.35173228159,5625.27579771938,5661.13123130144,5697.23424712948,5733.39511096845,5768.89413817675,5803.32503824824,5837.71491830464,5872.44431287322,5907.31608745461,5941.66234168393,5975.12864139953,6008.93728333125,6042.94977070025,6077.14677259115,3923.89514186866,3915.77850401784,3907.25500407712,3898.5115534779,3889.36302585396,3880.81043486878
19753.3469574154,19354.7824686875,19016.1753589423,5515.01472293037,5552.57378965228,5589.35369297461,5625.27864745568,5661.1350855419,5697.23920958788,5733.40127742872,5768.90159815575,5803.33385112637,5837.72516420431,5872.45608663048,5907.3294799139,5941.67743852005,5975.14552607752,6008.95603958716,6042.97047777568,6077.16950285117,3923.91107385883,3915.79567025991,3907.27339674329,3898.5311552467,3889.38381312969,3880.83238822113
19753.3469574154,19170.9501203004,18682.6382960881,5515.0153248483,5552.57496833179,5589.35560337286,5625.2814188586,5661.13883040459,5697.24402938038,5733.40726613656,5768.90884377432,5803.34241421508,5837.73512273095,5872.46753135423,5907.34249852446,5941.69211420017,5975.16194021134,6008.97427403478,6042.99061017998,6077.19160434254,3923.92656698786,3915.81236615131,3907.29128868429,3898.55022731641,3889.40404321967,3880.85375811473
46091.142900636,44446.2555118192,43082.6692737576,12868.3700159262,12956.0100590456,13041.8326488727,13125.6608554853,13209.3296240882,13293.5767184204,13377.9593782197,13460.7983017527,13541.1453041885,13621.3970808022,13702.4416270945,13783.8189424919,13863.9705640574,13942.0694671105,14020.9676800873,14100.3420172891,14180.1473323206,9155.85220471078,9136.92090100005,9117.04020942442,9096.64619904644,9075.30686974731,9055.35794458541
46091.142900636,43445.3904576376,41351.8290591896,12868.3731792809,12956.0161487909,13041.8424326862,13125.6749863663,13209.3486789114,13293.6012234917,13377.9898244641,13460.8351508005,13541.1889000087,13621.4478238685,13702.4999634411,13783.8853127841,13864.0453924309,13942.1531727746,14021.0606871555,14100.4447300637,14180.2601237779,9155.93129873312,9137.00617012254,9117.13163006701,9096.74370076075,9075.41034936289,9055.46731685013
46091.142900636,42444.5253571595,39706.0727887768,12868.3762313298,12956.0219231769,13041.8516265809,13125.6882061008,13209.3664693432,13293.6240875847,13378.0182348005,13460.8695537267,13541.2296527236,13621.4953068083,13702.5545788288,13783.9474683549,13864.1154869068,13942.2316043967,14021.147861046,14100.5410342504,14180.3659185222,9156.0055184072,9137.08622325293,9117.21750461129,9096.83534065691,9075.50766664128,9055.57023843973
19753.3469574154,19553.5835751174,19406.4578739772,5515.01624923391,5552.57699323529,5589.35918921793,5625.28701484091,5661.14687238151,5697.25493690027,5733.42143872116,5768.92665593609,5803.36415331445,5837.76113884726,5872.49818973763,5907.37811422554,5941.73295356154,5975.20822732626,6009.02619888032,6043.04830902847,6077.25513786037,3923.97107334669,3915.86010545115,3907.34202304409,3898.60367895086,3889.45992423531,3880.91181579829
19753.3469574154,19377.2356125304,19090.6703558819,5515.01790603932,5552.58033387583,5589.36474304373,5625.29525505715,5661.15823260381,5697.26982136043,5733.44022748418,5768.94970552807,5803.39172579856,5837.79355692466,5872.53580912651,5907.42126353114,5941.78193116735,5975.26330929347,6009.08764692036,6043.11635138804,6077.32995409719,3924.02352599679,3915.91654828331,3907.4023333547,3898.66769558157,3889.52746757926,3880.98272970629
19753.3469574154,19200.887647174,18781.1958093336,5515.0195386367,5552.58360278485,5589.37015812729,5625.30327460102,5661.16927830141,5697.28428751199,5733.45848563756,5768.97210485737,5803.41852887772,5837.82507700805,5872.57238839573,5907.46322154681,5941.82956061041,5975.31688288306,6009.14742456161,6043.18256124597,6077.4027777504,3924.07459968943,3915.97152908864,3907.4611070166,3898.73010990932,3889.59335145503,3881.05193369449
46091.142900636,44527.7521159281,43349.5688545516,12868.3814319323,12956.0333996647,13041.8719485848,13125.7198341232,13209.4117640596,13293.6853076442,13378.0975258963,13460.9689272467,13541.3506155178,13621.6397355904,13702.7244850677,13784.1446043245,13864.3413521384,13942.4874808045,14021.4348567866,14100.8599759552,14180.717233064,9156.25176354341,9137.35057128766,9117.49872522887,9097.13197870089,9075.81820026233,9055.89332615383
46091.142900636,43567.6353804715,41744.8500242796,12868.3900174373,12956.0503085207,13041.8997195402,13125.7607809778,13209.4680380488,13293.7589352429,13378.19042704,13461.0829143283,13541.4871234442,13621.8003594941,13702.9109236065,13784.3584880146,13864.5842058929,13942.7607494908,14021.7399340042,14101.1981033079,14181.0894238871,9156.51302342209,9137.63209425397,9117.79999167158,9097.45226879406,9076.15668534275,9056.24927404993
46091.142900636,42607.518609832,40220.3293715505,12868.3983055854,12956.0663579982,13041.9258451551,13125.7991256305,13209.5206168989,13293.8276618863,13378.2771250384,13461.1893132748,13541.6146619423,13621.9505343983,13703.0852786653,13784.558551274,13864.8114384017,13943.0165592235,14022.0256949279,14101.5150568625,14181.4386069597,9156.75836990886,9137.89675281843,9118.08353907287,9097.75408752723,9076.47604363181,9056.58551630226
19753.3469574154,19185.9188753004,18705.9233200218,5515.0174960847,5552.57947510164,5589.36324221496,5625.29291197138,5661.15484528705,5697.26519023032,5733.4341588236,5768.94201482214,5803.3822550288,5837.7821373777,5872.52227191203,5907.40545520854,5941.76371567774,5975.24256679407,6009.06427155691,6043.09026123057,6077.30110203831,3924.00323097246,3915.89469300858,3907.37902023808,3898.64304835555,3889.50161759648,3880.95579462754
19753.3469574154,18825.7385413901,18049.9353107966,5515.01976043561,5552.58400904969,5589.37072898649,5625.30394931187,5661.16997178957,5697.28490199212,5733.45891857676,5768.97225436789,5803.41828251284,5837.82433976955,5872.5710811692,5907.46127113308,5941.82690208922,5975.31346243598,6009.14320073211,6043.1775106183,6077.39690394486,3924.07032753116,3915.96684895496,3907.45610347978,3898.72488217486,3889.58800297644,3881.04656090673
19753.3469574154,18465.5581904338,17406.9714719065,5515.02199019563,5552.58844053377,5589.37801712289,5625.31466960099,5661.18464432647,5697.30400663643,5733.48290322723,5769.0015370326,5803.45316829335,5837.86519863242,5872.61832128734,5907.51527352305,5941.88801550066,5975.38201302644,6009.21950173523,6043.26183966399,6077.48948706739,3924.13516455292,3916.03657334052,3907.53059182395,3898.80396840738,3889.67149921002,3881.13430586693
46091.142900636,42526.0218763169,39632.9839882931,12868.3880678699,12956.0464572117,13041.8931243026,13125.750502477,13209.4530851703,13293.7382984724,13378.163103428,13461.0479283904,13541.4435516672,13621.7473274938,13702.8475908441,13784.2840261182,13864.4978281733,13942.6617185035,14021.6275620042,14101.0718078508,14180.9487864506,9156.41341075648,9137.52408648738,9117.68400367627,9097.32884463334,9076.02643360749,9056.11276028904
46091.142900636,40565.0397490071,36297.8584483668,12868.3997759913,12956.0693214295,13041.9303710964,13125.8050005578,13209.5274477817,13293.8349477518,13378.2843049793,13461.1957980623,13541.6197166219,13621.9536090851,13703.0859342265,13784.5562897882,13864.805739489,13943.0069109438,14022.0116158245,14101.4961324292,14181.4145419407,9156.73955033457,9137.8748172332,9118.05875541661,9097.7268372275,9076.44677333385,9056.55467749528
46091.142900636,38604.05740515,33128.1884715654,12868.4110622885,12956.0909720275,13041.9652981346,13125.855830026,13209.5965944481,13293.9246621484,13378.3966979947,13461.3328433884,13541.7830123819,13622.1448108027,13703.306738723,13784.8083655729,13865.0906653017,13943.3261979287,14022.3667366055,14101.8884086274,14181.8450735107,9157.0410243937,9138.1990604776,9118.40528914097,9098.0949921182,9076.8357706533,9056.9638433388
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
